question,answers,correct_answers
"Що стало наслідком події, описаної в спогадах Є. Петрушевича:


«Перебуваючи в Парижі на Раді послів Антанти, я сказав: “Іменем Національної Ради Східної Галичини як легального представництва українського**населення Східної Галичини виступаю проти такого рішення Конференції**Амбасадорів від 14**березня 1923**року, та заявляю, що українське населення**ніколи не погодиться з пануванням Польщі”…»?","[{'marker': 'А', 'text': 'проголошення ЗУНР'}, {'marker': 'Б', 'text': 'перетворення ЗУНР на західну область УНР'}, {'marker': 'В', 'text': 'розпуск уряду ЗУНР, що перебував в еміграції'}, {'marker': 'Г', 'text': 'скасування Акта Злуки між УНР та ЗУНР'}]",['В']
Характерним для культурного життя радянської України в 1921–1928 рр. було,"[{'marker': 'А', 'text': 'згортання антицерковної політики та відмова від атеїстичної пропаганди.'}, {'marker': 'Б', 'text': 'створення творчих об’єднань літераторів, художників, театральних діячів.'}, {'marker': 'В', 'text': 'повернення в культурний простір імен репресованих українських літераторів'}, {'marker': 'Г', 'text': 'посилення боротьби з «космополітизмом» та «низькопоклонством перед Заходом».'}]",['Б']
«Розстріляне відродження» – умовна назва,"[{'marker': 'А', 'text': 'генерації літераторів і митців України 1920-х – 1930-х рр., репресованої сталінським режимом.'}, {'marker': 'Б', 'text': 'покоління українських політичних діячів часів Української революції, знищених під час Великого терору 1930-х рр.'}, {'marker': 'В', 'text': 'групи українських «буржуазних спеціалістів», розстріляних у ході боротьби зі «шкідництвом» у 1920–1930-х рр.'}, {'marker': 'Г', 'text': 'плеяди видатних українських учених, засуджених у 1930-х рр. у справі «Спілки визволення України».'}]",['А']
Бойові дії на території України в 1941 р. призвели до,"[{'marker': 'А', 'text': 'повної окупації УРСР військами Німеччини та її союзників.'}, {'marker': 'Б', 'text': 'зриву планів «блискавичної війни» Німеччини проти СРСР.'}, {'marker': 'В', 'text': 'створення українських збройних формувань у складі Червоної армії.'}, {'marker': 'Г', 'text': 'утворення маріонеткової Української держави.'}]",['Б']
Низькі темпи розвитку легкої промисловості та сфери послуг в Україні в період післявоєнної відбудови спричинені,"[{'marker': 'А', 'text': 'зруйнуванням усіх підприємств легкої промисловості.'}, {'marker': 'Б', 'text': 'скасуванням карток на продовольчі та промислові товари.'}, {'marker': 'В', 'text': 'пріоритетним фінансуванням важкої промисловості.'}, {'marker': 'Г', 'text': 'відсутністю попиту населення на товари та послуги.'}]",['В']
"«У багатьох з нас одразу після ХХ**з’їзду було багато наївного, рожевого**оптимізму, багато ілюзій, побудованих на піску, і багатьом здавалося, що**всі проблеми народного життя вирішуються одним махом, і нам нічого не**лишається, як з високо піднятими прапорами урочисто марширувати до**комунізму», – згадував український дисидент І. Світличний про настрої, що охопили суспільство в результаті","[{'marker': 'А', 'text': 'декларування створення нової спільноти – «радянський народ».'}, {'marker': 'Б', 'text': 'розвінчання й засудження «культу особи» Й. Сталіна.'}, {'marker': 'В', 'text': 'впровадження політики плюралізму та гласності.'}, {'marker': 'Г', 'text': 'проголошення гасла «Кадри вирішують усе!».'}]",['Б']
Акція Народного руху України «Українська хвиля» (1990 р.) – утворення «живого ланцюга» від Львова до Києва – присвячувалася,"[{'marker': 'А', 'text': 'прийняттю Верховною Радою УРСР Декларації про державний суверенітет України.'}, {'marker': 'Б', 'text': 'відзначенню річниці проголошення Директорією УНР Універсалу про возз’єднання УНР та ЗУНР.'}, {'marker': 'В', 'text': 'підтримці головних політичних вимог, висунутих учасниками шахтарського страйку.'}, {'marker': 'Г', 'text': 'проведенню перших альтернативних виборів до Верховної Ради УРСР.'}]",['Б']
"Прочитайте уривок джерела.


«*Його… скинули з вежі на гаки, умуровані в стіни біля морської затоки дорогою з Константинополя до Галати. Зачепившись ребром за гак, жив у такому стані три дні, поки турки не вбили його з лука за те, що ганив їхню віру…*»


Про кого з гетьманів ідеться?","[{'marker': 'А', 'text': 'Дмитра (Байду) Вишневецького'}, {'marker': 'Б', 'text': 'Тараса Федоровича (Трясила)'}, {'marker': 'В', 'text': 'Богдана Хмельницького'}, {'marker': 'Г', 'text': 'Петра Дорошенка'}]",['А']
"Якого року відбулася подія, описана в уривку джерела: «*Конашевич надзвичайно спритно, страшенно збентеживши ворога, об’єднався з Владиславом під самою Москвою, столицею держави. Проніс переможні корогви своїми безмежними просторами.., обернувши в руїни такі надзвичайно сильні своєю позицією та залогами міста, як Єлець, Шацьк, Лівни, Калуга…*»?","[{'marker': 'А', 'text': '1616 р.'}, {'marker': 'Б', 'text': '1618 р.'}, {'marker': 'В', 'text': '1621 р.'}, {'marker': 'Г', 'text': '1625 р.'}]",['Б']
У 1768 р. Коліївщиною було охоплено райони,"[{'marker': 'А', 'text': 'Лівобережної України.'}, {'marker': 'Б', 'text': 'Правобережної України.'}, {'marker': 'В', 'text': 'Слобідської України.'}, {'marker': 'Г', 'text': 'Південної України.'}]",['Б']
"Прочитайте уривок листа українського діяча.


«*Спасибі вам і за ласкаве слово про дітей моїх “Гайдамаків”. Пустив я їх у люди, а до цієї пори ще ніхто й спасибі не сказав…*»


Автором цитованого листа є","[{'marker': 'А', 'text': 'П. Куліш.'}, {'marker': 'Б', 'text': 'Т. Шевченко.'}, {'marker': 'В', 'text': 'М. Максимович.'}, {'marker': 'Г', 'text': 'М. Шашкевич.'}]",['Б']
Головна руська рада – це,"[{'marker': 'А', 'text': 'парламент Королівства Галіції і Лодомерії.'}, {'marker': 'Б', 'text': 'перша політична організація українців Галичини.'}, {'marker': 'В', 'text': 'кооперативне об’єднання українців на Галичині.'}, {'marker': 'Г', 'text': 'мистецьке товариство русинів Закарпаття та Галичини.'}]",['Б']
Визначте особливість економічного розвитку Наддніпрянської України 60–90-х рр. ХІХ ст.,"[{'marker': 'А', 'text': 'початок процесу індустріалізації'}, {'marker': 'Б', 'text': 'витіснення іноземного капіталу національним'}, {'marker': 'В', 'text': 'скорочення обсягів промислового виробництва'}, {'marker': 'Г', 'text': 'домінування державного сектору в промисловості'}]",['А']
"«Галицько-Буковинське генерал-губернаторство» – це адміністративно-територіальна одиниця, створена","[{'marker': 'А', 'text': 'владою Австро-Угорщини на початку Першої світової війни на вимогу Головної української ради та Союзу визволення України.'}, {'marker': 'Б', 'text': 'урядом Російської імперії для управління землями Австро-Угорщини, окупованими російською армією під час Першої світової війни.'}, {'marker': 'В', 'text': 'командуванням Німеччини й Австро-Угорщини, оборону якої в роки Першої світової війни було покладено на Українських січових стрільців.'}, {'marker': 'Г', 'text': 'урядом Німеччини на українських землях Австро-Угорської та Російської імперій після завершення Першої світової війни.'}]",['Б']
Ухвалення якого Універсалу Української Центральної Ради дало поштовх до створення Генерального секретаріату?,"[{'marker': 'А', 'text': 'Першого'}, {'marker': 'Б', 'text': 'Другого'}, {'marker': 'В', 'text': 'Третього'}, {'marker': 'Г', 'text': 'Четвертого'}]",['А']
"Уривок джерела, у якому схарактеризовано часи Голодомору «*Урожай у нас був хороший, але радянська влада, “заготовляючи” наш хліб, до тих пір доводила свої плани й завдання до нас, допоки не залишились [ми] без фунта хліба…*», можна використати для пояснення його","[{'marker': 'А', 'text': 'передумов.'}, {'marker': 'Б', 'text': 'масштабу.'}, {'marker': 'В', 'text': 'жертв.'}, {'marker': 'Г', 'text': 'мети.'}]",['А']
"У якому уривку історичного джерела відображено один із заходів, спрямованих на асиміляцію українців у 1920–1930-х рр.?","[{'marker': 'А', 'text': '«Міністерство освіти категорично відхилило прохання відкрити школи з викладанням українською мовою, наголосивши, що громадяни зобов’язані давати своїм дітям освіту тільки в ...школах із румунською мовою викладання…»'}, {'marker': 'Б', 'text': '«На Волині та Поліссі осаджено понад 8 тисяч родин військових. Дано їм, за урядовим розпорядженням, землі від 20 до 80 га, деревину на будівництво, грошей чимало…»'}, {'marker': 'В', 'text': '«Країна русинів на південь від Карпат буде мати окремий сойм. Цей сойм буде виконувати владу в усіх мовних, шкільних, релігійних питаннях краю…»'}, {'marker': 'Г', 'text': '«Народна маса на Україні, прокинувшись і лише трохи національно усвідомивши себе, вже жадібно тяглася до рідної школи, до рідної книжки, до рідної преси, до всіх інших проявів рідної культури…»'}]",['А']
"Прочитайте уривок джерела.


«*Український народ не хоче й не буде своєю кров’ю рятувати Німеччину. Якщо Німеччина стоїть сьогодні перед смертельною небезпекою зі Сходу, то це наслідки дикунської політики німецького імперіалізму серед поневолених народів Сходу... Ми боремося за Українську державу, а не за чужий імперіалізм. Ми мусимо берегти наші сили, бо ми впевнені, що війна у своїй кінцевій фазі надасть нам державу...*»


Таку позицію у зверненні до українського народу в роки Другої світової війни проголосив","[{'marker': 'А', 'text': 'Провід ОУН (Б).'}, {'marker': 'Б', 'text': 'уряд Української РСР.'}, {'marker': 'В', 'text': 'очільник рейхскомісаріату «Україна».'}, {'marker': 'Г', 'text': 'керівник Українського штабу партизанського руху.'}]",['А']
Що стало однією із причин проведення операції «Вісла»?,"[{'marker': 'А', 'text': 'активна діяльність підпілля ОУН і загонів УПА на Закерзонні'}, {'marker': 'Б', 'text': 'прагнення радянського керівництва приєднати Закарпаття до УРСР'}, {'marker': 'В', 'text': 'переселення в західні області УРСР фахівців із Наддніпрянщини'}, {'marker': 'Г', 'text': 'намагання забезпечити робочою силою відбудову Донбасу'}]",['А']
"Прочитайте уривок джерела.


«...*Сам факт проведення з’їзду – серйозна поразка [компартійного] апарату. Тривалий час Україна була республікою “застою” і, нарешті, вона сказала своє вагоме слово. Було враховано помилки інших республік, і ми прийшли до з’їзду без катаклізмів... З’їзд став силою, що консолідувала людей різних поколінь, політичних поглядів, багатьох організацій*…»


Що стало результатом описаної події?","[{'marker': 'А', 'text': 'започаткування Української Гельсінської групи'}, {'marker': 'Б', 'text': 'відкриття клубу творчої молоді «Супутник»'}, {'marker': 'В', 'text': 'створення Народного руху України за перебудову'}, {'marker': 'Г', 'text': 'заснування Української робітничо-селянської спілки'}]",['В']
"Прочитайте уривок джерела.


«*Ми з Богом зібрані на черговім соборі в Бересті, у соборній церкві святого Миколая, Митрополит і єпископи грецького обряду, нижче підписані, на вічну пам’ять проголошуємо, щоб найвищий пастир Вселенської Католицької церкви прийняв нас під свій послух…*»


Коли відбулася подія, про яку йдеться в уривку?","[{'marker': 'А', 'text': '1596 р.'}, {'marker': 'Б', 'text': '1620 р.'}, {'marker': 'В', 'text': '1632 р.'}, {'marker': 'Г', 'text': '1649 р.'}]",['А']
"Діяльність якого гетьмана так характеризував історик Михайло Грушевський:


«*...записавши військо в братство, дав йому не тільки право, але й обов’язок виступати в усіх братських справах у ролі його членів, зв’язав братство як… козацьке представництво в церковних і національних справах...*»?","[{'marker': 'А', 'text': 'Д. Вишневецького (Байди)'}, {'marker': 'Б', 'text': 'П. Конашевича-Сагайдачного'}, {'marker': 'В', 'text': 'Т. Федоровича (Трясила)'}, {'marker': 'Г', 'text': 'К. Косинського'}]",['Б']
"Прочитайте уривок джерела.


«*У Московщині панує найогидніше рабство. Там немає і бути не може нічого власного, бо все є власністю царя. Московські бояри титулують себе “рабами царськими”. Увесь народ московський є рабом. У Московії продають людей на базарі, як у нас худобу. Приєднатися до такого народу – це гірше, як скочити живим у вогонь…*»


Такими словами аргументував полковник Іван Богун свою позицію щодо недоцільності укладання","[{'marker': 'А', 'text': '«Березневих статей».'}, {'marker': 'Б', 'text': 'Гадяцьких пунктів.'}, {'marker': 'В', 'text': 'Зборівського договору.'}, {'marker': 'Г', 'text': 'Віленського перемир’я.'}]",['А']
"«*Люди в ньому [Батурині] …вирубані, церкви зруйновані, будинки розграбовані й спалені…*» – такий погром міста влаштували 1708 року війська","[{'marker': 'А', 'text': 'московські.'}, {'marker': 'Б', 'text': 'турецькі.'}, {'marker': 'В', 'text': 'шведські.'}, {'marker': 'Г', 'text': 'польські.'}]",['А']
Створення і діяльність освітнього товариства галицьких греко-католицьких священників і «Руської трійці» свідчили про,"[{'marker': 'А', 'text': 'початок національного відродження на західноукраїнських землях.'}, {'marker': 'Б', 'text': 'політизацію українського руху в межах Австрійської імперії.'}, {'marker': 'В', 'text': 'розгортання національного руху під релігійними гаслами.'}, {'marker': 'Г', 'text': 'переорієнтацію українського руху на Російську імперію.'}]",['А']
Українська Центральна Рада існувала протягом,"[{'marker': 'А', 'text': '1905–1907 рр.'}, {'marker': 'Б', 'text': '1914–1916 рр.'}, {'marker': 'В', 'text': '1917–1918 рр.'}, {'marker': 'Г', 'text': '1919–1922 рр.'}]",['В']
"Що зумовило появу газетного повідомлення, уривок якого наведено:


«*У Київ очікується приїзд професора М. Грушевського, засланого в адміністративному порядку в Симбірськ… Ужиті заходи зі звільнення греко-католицького митрополита Шептицького, а також із повернення з Далекого Сходу всіх українців-галичан. Відновлюється закрите адміністрацією українське товариство “Просвіта”…*»?","[{'marker': 'А', 'text': 'початок Першої світової війни'}, {'marker': 'Б', 'text': 'більшовицький переворот у Росії'}, {'marker': 'В', 'text': 'ухвалення Акту Злуки УНР і ЗУНР'}, {'marker': 'Г', 'text': 'початок Української революції'}]",['Г']
"Поняття «розстріляне відродження» використовують, характеризуючи наслідки репресивної політики комуністичного режиму, спрямованої на фізичне знищення","[{'marker': 'А', 'text': 'українського селянства.'}, {'marker': 'Б', 'text': 'українського робітництва.'}, {'marker': 'В', 'text': 'української творчої інтелігенції.'}, {'marker': 'Г', 'text': 'українського партійно-радянського керівництва.'}]",['В']
"Якій країні, союзниці Німеччини в Другій світовій війні, в управління було передано частину території України, загарбаної в 1941 р.?","[{'marker': 'А', 'text': 'Італії'}, {'marker': 'Б', 'text': 'Угорщині'}, {'marker': 'В', 'text': 'Румунії'}, {'marker': 'Г', 'text': 'Словаччині'}]",['В']
"«*15 червня 1947 р. село було оточене військом. Чотири години на підготовку – і в дорогу. Куди? За що? Благали, просили – нічого не допомагало. Вивезли…*», – так житель Холмщини Яків Самощук коротко згадує про операцію","[{'marker': 'А', 'text': '«Вісла».'}, {'marker': 'Б', 'text': '«Захід».'}, {'marker': 'В', 'text': '«Хвиля».'}, {'marker': 'Г', 'text': '«Ост».'}]",['А']
Створення 1957 року на території УРСР «раднаргоспів» є свідченням,"[{'marker': 'А', 'text': 'прагнення позбавити компартію можливості втручатися в управління економікою.'}, {'marker': 'Б', 'text': 'пошуку ефективної моделі управління промисловістю та сільським господарством.'}, {'marker': 'В', 'text': 'успіхів у відбудові промисловості та сільського господарства республіки.'}, {'marker': 'Г', 'text': 'продовження політики колективізації селянських господарств у республіці.'}]",['Б']
У якому уривку оцінено політичний курс перебудови?,"[{'marker': 'А', 'text': '«Він, підвищивши рівень життя населення західноєвропейських країн, зміцнив політичну стабільність у регіоні та створив абсолютно нову, небачену досі, атмосферу співробітництва, взаємодопомоги й підтримки у відносинах між Західною Європою і Сполученими Штатами…»'}, {'marker': 'Б', 'text': ' «Проголошення цього курсу – важлива віха в історії. Він змінив життя сотень мільйонів громадян Радянського Союзу й країн Східної Європи. Найважливішим його надбанням стало знищення тоталітаризму, який упродовж 74 років сковував радянське суспільство…»'}, {'marker': 'В', 'text': ' «Цей курс виявився лише спробою відійти від жорсткої тоталітарної системи з її жахіттями кривавого терору, однак… лібералізація в жодному разі не зачіпала основ політичного устрою Радянського Союзу та підвалин його суспільного буття…»'}, {'marker': 'Г', 'text': ' «Він ствердив виключне право СРСР в умовах, коли виникає загроза справі соціалізму в країнах Східної Європи, загроза безпеці соціалістичної співдружності в цілому, на втручання у внутрішні справи країн, уключно з використанням військової сили…»'}]",['Б']
"У результаті Люблінської унії українські землі Подніпров’я, Волині та Східного Поділля переходили під владу","[{'marker': 'А', 'text': 'Османської імперії.'}, {'marker': 'Б', 'text': 'Московського царства.'}, {'marker': 'В', 'text': 'Польського королівства.'}, {'marker': 'Г', 'text': 'Молдавського князівства.'}]",['В']
Де відбулася перша переможна битва козацького війська під час Національно-визвольної війни українського народу проти Речі Посполитої середини ХVІІ ст.?,"[{'marker': 'А', 'text': 'на Жовтих Водах'}, {'marker': 'Б', 'text': 'під Корсунем'}, {'marker': 'В', 'text': 'під Пилявцями'}, {'marker': 'Г', 'text': 'під Зборовим'}]",['А']
Що було характерним для періоду Руїни?,"[{'marker': 'А', 'text': 'всеохопна криза та занепад Речі Посполитої, спричинені Національно-визвольною війною українського народу під проводом Б. Хмельницького'}, {'marker': 'Б', 'text': 'внутрішня боротьба козацької старшини за владу, розкол Гетьманщини, втручання в її внутрішні справи та військова агресія сусідніх держав'}, {'marker': 'В', 'text': 'форсований наступ на автономні права Гетьманщини царського уряду внаслідок переходу гетьмана І. Мазепи на бік шведського короля'}, {'marker': 'Г', 'text': 'остаточна ліквідація інституту гетьманства, решток української автономії та повна інтеграція українських земель у Російську імперію'}]",['Б']
"Укажіть хронологічні межі російсько-турецької війни, результати якої створили передумови для ліквідації Російською імперією Кримського ханства.","[{'marker': 'А', 'text': '1768–1774 рр.'}, {'marker': 'Б', 'text': '1787–1791 рр.'}, {'marker': 'В', 'text': '1806–1812 рр.'}, {'marker': 'Г', 'text': '1828–1829 рр.'}]",['А']
"Прочитайте уривок джерела.


«Давно вони вже відвернулися від тої живої Русі, що говорила, співала, страждала.., а знайшли другу, мертву, той кам’яний істукан – Русь, що виписана була в документах!..»


Про критику представників якої течії в українському суспільно-політичному русі другої половини ХІХ ст. ідеться?","[{'marker': 'А', 'text': 'радикалів'}, {'marker': 'Б', 'text': 'народовців'}, {'marker': 'В', 'text': 'громадівців'}, {'marker': 'Г', 'text': 'москвофілів'}]",['Г']
Яка подія є свідченням утисків української мови в Російській імперії в ХІХ ст.?,"[{'marker': 'А', 'text': 'видання царем Емського указу'}, {'marker': 'Б', 'text': 'запровадження латиниці в українському правописі'}, {'marker': 'В', 'text': 'відкриття лише трьох університетів на українських землях'}, {'marker': 'Г', 'text': 'закриття Південно-Західного відділення російського географічного товариства'}]",['А']
"Реалізація імперської стратегії Росії в Першій світовій війні щодо «…злиття землі Ярослава Осмомисла, князів Данила і Романа з Імперією в політичному, соціальному та національному відношеннях…» стала можливою завдяки","[{'marker': 'А', 'text': 'Карпатській операції.'}, {'marker': 'Б', 'text': 'Горліцькому прориву.'}, {'marker': 'В', 'text': 'Брусиловському прориву.'}, {'marker': 'Г', 'text': 'Галицькій битві.'}]",['Г']
"У якому уривку з історичного джерела відображено сутність літературної дискусії, започаткованої М. Хвильовим?","[{'marker': 'А', 'text': '«…необхідно відзначити, що Волинська і Київська губернії беруться як приклади найбільш успішного проведення політики українізації, а Донецька – як найбільш відстала в цьому відношенні губернія…»'}, {'marker': 'Б', 'text': '«…кінець малоросійському епігонству і провінційності, українське мистецтво прилучається до світового, і, в першу чергу, до західноєвропейського; Українське мистецтво…започатковує нове велике культурне коло…»'}, {'marker': 'В', 'text': '«…мені здається, що переклад повісті “Мати” [Максима Горького] на українську говірку не потрібен. Мене дуже дивує той факт, що люди […] прагнуть зробити говірку мовою, пригноблюють тих великоросів, які є меншиною в області цієї говірки…»'}, {'marker': 'Г', 'text': '«…на Україні […] культура міста є російська, а культура села – українська. Поставити собі завдання активно українізувати партію, це значить стати на точку зору нижчої культури села, порівняно з вищою культурою міста…»'}]",['Б']
"«…це один із керівників уніатської Церкви на Західній Україні... що він має ненависть до совєтської влади, і що уніатське духовенство заявляло про необхідність знищити Росію як єдину державу, розділити її на частини та відірвати Україну від Москви… що український народ є давніший від російського, що історія українського народу не має нічого спільного з історією російського народу…» – такі «злочини» інкримінувала радянська влада митрополиту","[{'marker': 'А', 'text': 'Андрею Шептицькому.'}, {'marker': 'Б', 'text': 'Мирославу Любачівському.'}, {'marker': 'В', 'text': 'Йосипу Сліпому.'}, {'marker': 'Г', 'text': 'Любомиру Гузару.'}]",['В']
Виникнення в Україні руху «шістдесятників» зумовлено,"[{'marker': 'А', 'text': 'лібералізацією суспільно-політичного та духовного життя.'}, {'marker': 'Б', 'text': 'збільшенням фінансування культури та народної творчості.'}, {'marker': 'В', 'text': 'долученням до європейської та світової культурної спадщини.'}, {'marker': 'Г', 'text': 'поверненням в українську культуру забутих і репресованих імен.'}]",['А']
