question,answers,correct_answers
НЕМАЄ лексичної помилки в рядку,"[{'marker': 'А', 'text': 'переважна прерогатива'}, {'marker': 'Б', 'text': 'головний лейтмотив'}, {'marker': 'В', 'text': 'дивний парадокс'}, {'marker': 'Г', 'text': 'захисний імунітет'}, {'marker': 'Д', 'text': 'приваблива вакансія'}]",['Д']
"Прочитайте речення, у якому пропущено окремі слова.


*У п’єсі Івана ______ є два ______ , які зображені ______.*


Правильним є варіант послідовного заповнення пропусків","[{'marker': 'А', 'text': 'Карпенка-Карого, персонажа, більш оригінально'}, {'marker': 'Б', 'text': 'Карпенка-Карого, персонажів, більш оригінальніше'}, {'marker': 'В', 'text': 'Карпенко-Карого, персонажа, найбільш оригінально'}, {'marker': 'Г', 'text': 'Карпенко-Карого, персонажі, найбільш оригінальніше'}, {'marker': 'Д', 'text': 'Карпенка-Карого, персонажі, найбільш оригінально'}]",['Д']
"Прочитайте речення, у якому пропущено окремі слова.


*Дорогий _______, гостинні грузини запрошують тебе відвідати _______ Батумі й покуштувати _______ хачапурі по-аджарськи.*


Правильним є варіант послідовного заповнення пропусків","[{'marker': 'А', 'text': 'українцю, старовинну, смачну'}, {'marker': 'Б', 'text': 'українець, старовинний, смачне'}, {'marker': 'В', 'text': 'українцю, старовинне, смачне'}, {'marker': 'Г', 'text': 'українець, старовинне, смачний'}, {'marker': 'Д', 'text': 'українце, старовинний, смачну'}]",['В']
Редагування потребує речення,"[{'marker': 'А', 'text': 'Сплачуючи за будь-які товари чи послуги, завжди вимагайте на касі видати чек.'}, {'marker': 'Б', 'text': 'Знаючи основні правила користування грошима, фінансові втрати вас не спіткають.'}, {'marker': 'В', 'text': 'Отримавши банкноти, я завжди перевіряю на них усі можливі елементи захисту.'}, {'marker': 'Г', 'text': 'Розраховуючись безготівково, кожен має контролювати правильність усіх трансакцій.'}, {'marker': 'Д', 'text': 'Обов’язково зважуй можливі ризики, оплачуючи вартість товарів чи послуг онлайн.'}]",['Б']
"Прочитайте речення *(цифра позначає попередній розділовий знак)*.


*Метод оповідок**, (1)** або вигадування легенд**, (2)** часто використовують з метою реклами**: (3)** історія**, (4)** удало придумана маркетологами**, (5)** може значно підвищити рівень продажу товарів**, (6)** і тут доречно пригадати відомий відеоролик**, (7)** як палички печива «Twix*» *виготовляють на різних фабриках.*


НЕПРАВИЛЬНО обґрунтовано вживання розділових знаків у рядку","[{'marker': 'А', 'text': 'коми 1, 2 – при однорідних членах речення'}, {'marker': 'Б', 'text': 'двокрапка 3 – між частинами складного речення, що поєднані безсполучниковим зв’язком'}, {'marker': 'В', 'text': 'коми 4, 5 – при відокремленому означенні'}, {'marker': 'Г', 'text': 'кома 6 – між частинами складного речення, що поєднані сурядним зв’язком'}, {'marker': 'Д', 'text': 'кома 7 – між частинами складного речення, що поєднані підрядним зв’язком'}]",['А']
"**Прочитайте текст і виконайте завдання до нього.**


(1) За багато століть люди звикли охороняти та прикрашати ***джерела***, наділяючи їх цілющими й магічними властивостями. (2) Особливо відзначилися в цьому італійці. (3) Узагалі Італія справедливо заслуговує називатися країною криниць і водограїв. (4) Чимало з них має багатовікову історію, а тому їх уважають національними пам’ятками, яких не оминають увагою туристи. (5) Це тому, що навіть ті з них, які призначені для суто побутових потреб, зроблені вигадливо та майстерно. (6) Наприклад у Венеції ***криниці***були споруджені в готичному ***стилі***, а в Римі доба бароко залишила нам славнозвісний фонтан Треві. (7) Таке ж шанобливе ставлення до джерел виплекали ***покоління***в Середній Азії, де криниці в буквальному розумінні «давали» життя людським поселенням, сприяли нормальному функціонуванню господарства.


Однорідних членів НЕМАЄ в реченні","[{'marker': 'А', 'text': 'першому'}, {'marker': 'Б', 'text': 'третьому'}, {'marker': 'В', 'text': 'четвертому'}, {'marker': 'Г', 'text': 'сьомому'}]",['В']
"**Прочитайте текст і виконайте завдання до нього.**


(1) За багато століть люди звикли охороняти та прикрашати ***джерела***, наділяючи їх цілющими й магічними властивостями. (2) Особливо відзначилися в цьому італійці. (3) Узагалі Італія справедливо заслуговує називатися країною криниць і водограїв. (4) Чимало з них має багатовікову історію, а тому їх уважають національними пам’ятками, яких не оминають увагою туристи. (5) Це тому, що навіть ті з них, які призначені для суто побутових потреб, зроблені вигадливо та майстерно. (6) Наприклад у Венеції ***криниці***були споруджені в готичному ***стилі***, а в Римі доба бароко залишила нам славнозвісний фонтан Треві. (7) Таке ж шанобливе ставлення до джерел виплекали ***покоління***в Середній Азії, де криниці в буквальному розумінні «давали» життя людським поселенням, сприяли нормальному функціонуванню господарства.


Форму однини має в тексті іменник","[{'marker': 'А', 'text': 'джерела'}, {'marker': 'Б', 'text': 'криниці'}, {'marker': 'В', 'text': 'стилі'}, {'marker': 'Г', 'text': 'покоління'}]",['В']
"**Прочитайте текст і виконайте завдання до нього.**


(1) За багато століть люди звикли охороняти та прикрашати ***джерела***, наділяючи їх цілющими й магічними властивостями. (2) Особливо відзначилися в цьому італійці. (3) Узагалі Італія справедливо заслуговує називатися країною криниць і водограїв. (4) Чимало з них має багатовікову історію, а тому їх уважають національними пам’ятками, яких не оминають увагою туристи. (5) Це тому, що навіть ті з них, які призначені для суто побутових потреб, зроблені вигадливо та майстерно. (6) Наприклад у Венеції ***криниці***були споруджені в готичному ***стилі***, а в Римі доба бароко залишила нам славнозвісний фонтан Треві. (7) Таке ж шанобливе ставлення до джерел виплекали ***покоління***в Середній Азії, де криниці в буквальному розумінні «давали» життя людським поселенням, сприяли нормальному функціонуванню господарства.


Пунктуаційну помилку допущено в реченні","[{'marker': 'А', 'text': 'першому'}, {'marker': 'Б', 'text': 'четвертому'}, {'marker': 'В', 'text': ""п'ятому""}, {'marker': 'Г', 'text': 'шостому'}]",['Г']
"**Прочитайте текст і виконайте завдання до нього.**


(1) За багато століть люди звикли охороняти та прикрашати ***джерела***, наділяючи їх цілющими й магічними властивостями. (2) Особливо відзначилися в цьому італійці. (3) Узагалі Італія справедливо заслуговує називатися країною криниць і водограїв. (4) Чимало з них має багатовікову історію, а тому їх уважають національними пам’ятками, яких не оминають увагою туристи. (5) Це тому, що навіть ті з них, які призначені для суто побутових потреб, зроблені вигадливо та майстерно. (6) Наприклад у Венеції ***криниці***були споруджені в готичному ***стилі***, а в Римі доба бароко залишила нам славнозвісний фонтан Треві. (7) Таке ж шанобливе ставлення до джерел виплекали ***покоління***в Середній Азії, де криниці в буквальному розумінні «давали» життя людським поселенням, сприяли нормальному функціонуванню господарства.


Складносурядним є речення","[{'marker': 'А', 'text': 'перше'}, {'marker': 'Б', 'text': 'п’яте'}, {'marker': 'В', 'text': 'шосте'}, {'marker': 'Г', 'text': 'сьоме'}]",['В']
На перший склад падає наголос у слові,"[{'marker': 'А', 'text': 'зручний'}, {'marker': 'Б', 'text': 'проміжок'}, {'marker': 'В', 'text': 'перекис'}, {'marker': 'Г', 'text': 'експерт'}, {'marker': 'Д', 'text': 'фаховий'}]",['А']
Букву ***и***на місці пропуску треба писати в усіх словах рядка,"[{'marker': 'А', 'text': 'д..рижабль, през..дент, п’єд..стал'}, {'marker': 'Б', 'text': 'с..нус, Ват..кан, дез..нформація'}, {'marker': 'В', 'text': 'Пак..стан, прив..лей, к..парис'}, {'marker': 'Г', 'text': 'реч..татив, симпоз..ум, Ч..лі'}, {'marker': 'Д', 'text': 'рец..див, Флор..да, кр..тичний'}]",['Д']
Апостроф на місці пропуску треба писати в усіх словах рядка,"[{'marker': 'А', 'text': 'під..яремний, краков..як, рутв..яний'}, {'marker': 'Б', 'text': 'П..ятихатки, без..язикий, брукв..яний'}, {'marker': 'В', 'text': 'розіб..ється, Прип..ять, присв..ячений'}, {'marker': 'Г', 'text': 'сором..язливий, Валер..ян, зап..ястя'}, {'marker': 'Д', 'text': 'об..їжджати, Лук..янівка, сер..йозний'}]",['Г']
Правильно написано всі слова в рядку,"[{'marker': 'А', 'text': 'скасований, розтривожений, безтурботний, припинений'}, {'marker': 'Б', 'text': 'схвалення, безапеляційний, розмовний, преморожений'}, {'marker': 'В', 'text': 'безконтактний, призвісько, розрекламований, списаний'}, {'marker': 'Г', 'text': 'пресмачний, сфотографований, безмірний, росщеплений'}, {'marker': 'Д', 'text': 'беспорадний, розпушений, прекумедний, сформований'}]",['А']
Правильно написано всі похідні слова в рядку,"[{'marker': 'А', 'text': 'Запоріжжя – запорізький, чех – чеський, Цюрих – цюриський'}, {'marker': 'Б', 'text': 'Прага – пражський, козак – козацький, Овруч – овруцький'}, {'marker': 'В', 'text': 'Буг – бузький, латиш – латиський, Париж – парижський'}, {'marker': 'Г', 'text': 'Рига – ризький, узбек – узбецький, Дрогобич – дрогобицький'}, {'marker': 'Д', 'text': 'Кавказ – кавказський, турок – турецький, Збараж – збаразький'}]",['Г']
"Прочитайте уривок тексту.


**(1)***З/поміж українських архітекторів варто відзначити Івана Левинського. Упродовж* **(2)***сорока/літньої діяльності ним були зведені сотні будівель* **(3)***житлово/побутового та громадського призначення. Усе, створене ним, захоплює, бо до* **(4)***будь/якої роботи він підходив* **(5)***по/господарськи*.


Без дефіса треба писати слово, позначене цифрою","[{'marker': 'А', 'text': '1'}, {'marker': 'Б', 'text': '2'}, {'marker': 'В', 'text': '3'}, {'marker': 'Г', 'text': '4'}, {'marker': 'Д', 'text': '5'}]",['Б']
Потребує редагування вислів у рядку,"[{'marker': 'А', 'text': 'відхилити пропозицію'}, {'marker': 'Б', 'text': 'давно знати друг друга'}, {'marker': 'В', 'text': 'заповзято співпрацювати'}, {'marker': 'Г', 'text': 'довгострокове планування'}, {'marker': 'Д', 'text': 'віддячити за допомогу'}]",['Б']
"Прочитайте речення.


*Фігуристка, ... хворобу, блискуче виконала складний стрибок.*


Замість крапок у реченні можна вставити всі слова, ОКРІМ","[{'marker': 'А', 'text': 'не дивлячись на'}, {'marker': 'Б', 'text': 'незважаючи на'}, {'marker': 'В', 'text': 'забувши про'}, {'marker': 'Г', 'text': 'подолавши'}, {'marker': 'Д', 'text': 'перемігши'}]",['А']
"Прочитайте речення, у якому пропущено окремі слова.


*Лише частина студентів … опанувати правила вимови …, хоч Оксана Семенівна, як досвідчений викладач, … цій темі чимало часу.*


Правильним є варіант послідовного заповнення пропусків","[{'marker': 'А', 'text': 'змогли, важкими французькими звуками, приділила'}, {'marker': 'Б', 'text': 'змогла, важкими французькими звуками, приділив'}, {'marker': 'В', 'text': 'змогли, важких французьких звуків, приділив'}, {'marker': 'Г', 'text': 'змогли, важкими французькими звуками, приділили'}, {'marker': 'Д', 'text': 'змогла, важких французьких звуків, приділила'}]",['Д']
Помилку у творенні ступеня порівняння прикметника допущено в реченні,"[{'marker': 'А', 'text': 'Нарешті настали найочікуваніші для кожного випускника дні, сповнені найприємніших вражень.'}, {'marker': 'Б', 'text': 'Студенти знають психологічну драму «Блакитна троянда» як найекстраординарніший і найпрекрасніший твір Лесі Українки.'}, {'marker': 'В', 'text': 'До свята діти вирішили купити квіти: для мами взяли троянди, найніжніші з усіх, які були, а для бабусі – найяскравіші хризантеми.'}, {'marker': 'Г', 'text': 'Що більш відповідальна людина, то більш складне її життя, адже вона все хоче зробити бездоганно й для цього докладає неабияких зусиль.'}, {'marker': 'Д', 'text': 'Найважливіші відкриття людства, як не дивно, є найменш очікуваними: хто б міг собі уявити, що грибок стане джерелом пеніциліну.'}]",['Б']
"Граматично правильне продовження речення «Вибираючи стиль одягу, ...» наведено в рядку","[{'marker': 'А', 'text': 'людині притаманне прагнення мати привабливий, а інколи й вишуканий вигляд.'}, {'marker': 'Б', 'text': 'досить просто створюється особливий, індивідуальний, не схожий на інших образ.'}, {'marker': 'В', 'text': 'не завжди увага закцентована на перевагах фігури й приховуванні недоліків.'}, {'marker': 'Г', 'text': 'зовнішність підкреслюється або ж, навпаки, погіршується невдалим поєднанням.'}, {'marker': 'Д', 'text': 'ми хочемо бути в центрі уваги й відчувати на собі сповнені захоплення погляди.'}]",['Д']
"Однаковий звук позначають букви, виділені в окремих словах речення","[{'marker': 'А', 'text': '***к***рай, во***к***зал, за***к***ріплення'}, {'marker': 'Б', 'text': '***з***іщулитись, про***с***ьба, ***з***ябра'}, {'marker': 'В', 'text': 'усмі***ш***ці, сміє***ш***ся, посмі***ш***ка'}, {'marker': 'Г', 'text': 'несе***т***ься, ***т***юльпан, ***т***ьмяно'}]",['Б']
"Прочитайте речення *(цифра позначає наступне слово).*


***(1)****Доньк****а*** *отримала* ***(2)****завд****а****ння вивчити* ***(3)****чот****и****рнадцять рядків* ***(4)****в****і****рша, які вона декламуватиме на* ***(5)****уроч****и****стому заході з нагоди відкриття* ***(6)****мер****е****жі магазинів* ***(7)«П****а****вич», що відбудеться* ***(8)****один****а****дцятого* ***(9)****лист****о****пада в торговельно-розважальному центрі* ***(10)«Кварт****а****л».*


НЕПРАВИЛЬНО виділено букви на позначення наголошених голосних у всіх словах, позначених цифрами","[{'marker': 'А', 'text': '2, 4, 5, 10'}, {'marker': 'Б', 'text': '1, 3, 7, 9'}, {'marker': 'В', 'text': '3, 4, 5, 10'}, {'marker': 'Г', 'text': '1, 2, 5, 6'}]",['Б']
"Прочитайте речення.


*Коли* ***мален(1)кий*** *соловейко* ***переконуєт(2)ся****, що все йде за його сценарієм,* *то пісню свою починає* ***повіл(3)но****, і вона на невидимій* ***ниточ(4)ці*** *зринає в* *далеку височінь.*


М’який знак треба писати на місці всіх цифр, ОКРІМ","[{'marker': 'А', 'text': '1'}, {'marker': 'Б', 'text': '2'}, {'marker': 'В', 'text': '3'}, {'marker': 'Г', 'text': '4'}]",['Г']
Подвоєні букви ***-нн-*** треба писати на місці пропуску в усіх словах рядка,"[{'marker': 'А', 'text': 'моното..ий, бездога..ий, ешело..ий'}, {'marker': 'Б', 'text': 'журавли..ий, страше..ий, студе..ий'}, {'marker': 'В', 'text': 'свяще..ий, довгожда..ий, безіме..ий'}, {'marker': 'Г', 'text': 'скля..ий, електро..ий, благослове..ий'}]",['А']
Апостроф треба писати на місці пропуску в усіх словах рядка,"[{'marker': 'А', 'text': 'відв..язати, дзв..якати, Рейк..явік'}, {'marker': 'Б', 'text': 'кон..юнктура, М..юнхен, з..явитися'}, {'marker': 'В', 'text': 'б..юро, пан..європейський, подвір..я'}, {'marker': 'Г', 'text': 'верф..ю, возз..єднання, ін..єкція'}]",['Г']
З дефісом треба писати всі слова в рядку,"[{'marker': 'А', 'text': 'договірно/правовий, культурно/освітній, гостро/критичний, морально/етичний;'}, {'marker': 'Б', 'text': 'мідно/червоний, навчально/виробничий, об’ємно/просторовий, оптово/роздрібний.'}, {'marker': 'В', 'text': 'житлово/будівельний, військово/повітряний, суспільно/небезпечний, лірико/драматичний;'}, {'marker': 'Г', 'text': 'молочно/білий, науково/експериментальний, сільсько/господарський, організаційно/методичний;'}]",['Б']
НЕ ДОТРИМАНО правил уживання великої букви в рядку,"[{'marker': 'А', 'text': 'Коліївщина, Верховна Рада України, трипільська культура'}, {'marker': 'Б', 'text': 'сузір’я Великий Віз, країни Близького Сходу, бог Перун'}, {'marker': 'В', 'text': 'хрестові походи, Ріо-де-Жанейро, Олімпійські Ігри'}, {'marker': 'Г', 'text': 'доба неоліту, Андріївський узвіз, День будівельника'}]",['В']
НЕМАЄ орфографічних помилок у варіанті,"[{'marker': 'А', 'text': 'Запорукою краси та здоров’я насамперед є збалансованний щоденний рацион та оптимальне фізичне навантаження.'}, {'marker': 'Б', 'text': 'Вибір продуктів, технологія приготування страв та особливості споживання їх мають бути підпорядковані правилам здорового способу життя.'}, {'marker': 'В', 'text': 'Принцип чіткого поділу продуктів на користні та шкідливі об’єднує всі практики здорового харчуваня.'}, {'marker': 'Г', 'text': 'Основи повноцінного меню та базові фізичні вправи сьогодні знає чи некожен, хто має бажання почувати себе впевнено за будь яких обставин.'}]",['Б']
НЕ МАЮТЬ закінчення обидва слова в рядку,"[{'marker': 'А', 'text': 'гордість, вчасно'}, {'marker': 'Б', 'text': 'метро, джунглі'}, {'marker': 'В', 'text': 'читаючи, кашне'}, {'marker': 'Г', 'text': 'розбито, блакить'}]",['В']
Лексичну помилку допущено в словосполученні,"[{'marker': 'А', 'text': 'переказати кошти'}, {'marker': 'Б', 'text': 'чинне законодавство'}, {'marker': 'В', 'text': 'співставити факти'}, {'marker': 'Г', 'text': 'завдати збитків'}]",['В']
Редагування потребує речення,"[{'marker': 'А', 'text': 'Кожен громадянин України, усвідомлюючи важливість державної мови, завжди й скрізь має послуговуватися нею.'}, {'marker': 'Б', 'text': 'Застосовуючи українську в усіх гаджетах, користуючись нею в соцмережах, створюємо відповідне мовне середовище.'}, {'marker': 'В', 'text': 'Щоденно спілкуючись з носіями української, зможете швидше збагатити словниковий запас та покращити вимову.'}, {'marker': 'Г', 'text': 'Дехто, прагнучи вдосконалити свої навички, заводить нотатник для нових цікавих слів, фразеологізмів, крилатих висловів.'}, {'marker': 'Д', 'text': 'Українська має звучати повсюди, вимагаючи дотримання вашого права на одержання інформації та послуг державною мовою.'}]",['Д']
Правильно розставлено розділові знаки при прямій мові в реченні,"[{'marker': 'А', 'text': '«Найкраща помилка та, – говорив філософ Григорій Сковорода – якої припускаються в навчанні».'}, {'marker': 'Б', 'text': '«Якщо почуєш жарт, шукай у ньому приховану правду, – радив геніальний Олександр Довженко».'}, {'marker': 'В', 'text': 'Василь Симоненко стверджував: «Можна все на світі вибирати, сину, вибрати не можна тільки Батьківщину».'}, {'marker': 'Г', 'text': '«Рідна мова дається народові Богом, – наголошував Василь Захарченко й застерігав, – А чужа – людьми, її приносять на вістрі ворожих списів».'}, {'marker': 'Д', 'text': '«Ой ти, дівчино, з горіха зерня, чом твоє серденько – колюче терня?», – запитує ліричний герой поезії Івана Франка.'}]",['В']
"Прочитайте речення *(цифра позначає попередній розділовий знак).*


*Як стверджують філософи й соціологи****,(1)*** *цивілізованість світу вимірюють* *книжками****,(2)*** *саме вони є беззаперечними символами мудрості й честі****:(3)*** *президенти країн****,(4)*** *присягаючи нації****,(5)*** *кладуть руку саме на книгу****,(6)*** *а не* *на пощерблену в битвах древню шаблю.*


НЕПРАВИЛЬНО обґрунтовано вживання розділових знаків у рядку","[{'marker': 'А', 'text': 'кома 1 – між частинами складного речення, що поєднані підрядним зв’язком'}, {'marker': 'Б', 'text': 'кома 2 – між частинами складного речення, що поєднані безсполучниковим зв’язком'}, {'marker': 'В', 'text': 'двокрапка 3 – між частинами складного речення, що поєднані безсполучниковим зв’язком'}, {'marker': 'Г', 'text': 'коми 4, 5 – при відокремленій обставині'}, {'marker': 'Д', 'text': 'кома 6 – при однорідних членах речення'}]",['А']
Лексична помилка є в реченні,"[{'marker': 'А', 'text': 'Досвідчені наставники сприяють професійному становленню молодих спеціалістів.'}, {'marker': 'Б', 'text': 'Обираючи спеціальність, ураховуйте потреби сучасного суспільства.'}, {'marker': 'В', 'text': 'Надзвичайно важливим чинником у виборі фаху є також мотивація.'}, {'marker': 'Г', 'text': 'Беріть участь у різноманітних тренінгах з професіональної орієнтації.'}, {'marker': 'Д', 'text': 'Фахове самовизначення є важливою умовою успіху людини.'}]",['Г']
Українським відповідником до іншомовного слова ***модерний*** є,"[{'marker': 'А', 'text': 'сучасний'}, {'marker': 'Б', 'text': 'незвичний'}, {'marker': 'В', 'text': 'важливий'}, {'marker': 'Г', 'text': 'граничний'}, {'marker': 'Д', 'text': 'прийнятний'}]",['А']
"*Дорогий _______, гостинні грузини запрошують тебе відвідати _______ Батумі й покуштувати _______ хачапурі по-аджарськи.*","[{'marker': 'А', 'text': 'українцю, старовинний, смачний'}, {'marker': 'Б', 'text': 'українець, старовинні, смачне'}, {'marker': 'В', 'text': 'українець, старовинне, смачний'}, {'marker': 'Г', 'text': 'українцю, старовинну, смачну'}, {'marker': 'Д', 'text': 'українцю, старовинне, смачне'}]",['Д']
*_______ пораді інструктора ________ ми виконали це завдання краще ________.*,"[{'marker': 'А', 'text': 'Завдяки, Миколи Івановича, інших'}, {'marker': 'Б', 'text': 'Дякуючи, Миколи Івановича, інших'}, {'marker': 'В', 'text': 'Дякуючи, Миколі Івановичу, від інших'}, {'marker': 'Г', 'text': 'Завдяки, Миколи Івановича, за інших'}, {'marker': 'Д', 'text': 'Дякуючи, Миколі Івановичу, за інших'}]",['Г']
"*До початку матчу залишається __________, але вже понад __________ уклали* *контракти з __________.*","[{'marker': 'А', 'text': 'півтора місяці, ста телеканалів, тисячею двісті рекламодавців'}, {'marker': 'Б', 'text': 'півтора місяця, сто телеканалів, тисячею двомастами рекламодавцями'}, {'marker': 'В', 'text': 'півтора місяця, ста телеканалів, тисячею двомастами рекламодавців'}, {'marker': 'Г', 'text': 'півтора місяців, сто телеканалів, тисяча двостами рекламодавцями'}, {'marker': 'Д', 'text': 'півтори місяці, сто телеканалів, тисяча двісті рекламодавців'}]",['Б']
"*Не ________ на часі, коли очищаєте кавомолку після використання, цим ви* *________ термін її експлуатації.*","[{'marker': 'А', 'text': 'економіте, подовжите'}, {'marker': 'Б', 'text': 'економте, подовжете'}, {'marker': 'В', 'text': 'економіть, подовжити'}, {'marker': 'Г', 'text': 'економьте, подовжте'}, {'marker': 'Д', 'text': 'економте, подовжите'}]",['Д']
