area,rot-categorization,rot-moral-foundations,rot-judgment,action-moral-judgment,action-legal,label,action_ukr,action_en
amitheasshole,description,care-harm,helps save the environment,2.0,legal,2,Спільні поїздки,Carpooling
rocstories,morality-ethics,care-harm,It's wise.,2.0,legal,2,Попередження когось у небезпечній ситуації.,Cautioning someone in a dangerous situation.
confessions,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's important.,2.0,legal,2,"Перевіряти стан друзів чи членів родини, яким нездужається.",Checking on friends or family members who aren't doing well.
dearabby,morality-ethics|social-norms,care-harm|authority-subversion,should,0.0,legal,1,"Діти, які поважають дорослих",Children being respectful to adults
amitheasshole,morality-ethics,care-harm,should,0.0,legal,1,"Діти намагаються зробити щось для своїх батьків, коли вони можуть.",Children trying to do things for their parents when they are able.
amitheasshole,social-norms,care-harm,is important.,1.0,legal,2,Чистота,Cleanliness
rocstories,social-norms|advice,care-harm,You should,0.0,legal,1,Приходити на зустрічі підготовленими.,Coming prepared for meetings.
amitheasshole,social-norms,care-harm,Its good,2.0,legal,2,Вітання інших із їхніми досягненнями.,Congratulating others for their accomplishments.
dearabby,advice,care-harm,expected,0.0,legal,1,Пари чесно розмовляють одне з одним про свої сексуальні потреби.,Couples talking honestly with each other about their sexual needs.
amitheasshole,social-norms,care-harm|authority-subversion,expected,0.0,legal,1,"Колеги, які співпрацюють один з одним.",Coworkers cooperating with one another.
confessions,morality-ethics,care-harm|sanctity-degradation,is bad,-1.0,tolerated,0,Знищення чужого середовища,Destroying someone else's environmen
amitheasshole,morality-ethics,care-harm,Its reasonable,0.0,legal,1,"Дистанціювання від людини, з якою ви не поділяєте цінностей.",Distancing yourself from someone who you do not share values with.
amitheasshole,morality-ethics,care-harm,shouldn't be prevented,-1.0,legal,0,Собаки люблять бути поруч зі своїми господарями,Dogs liking to be close to their owners
rocstories,social-norms|advice,care-harm,is thoughtful,1.0,legal,2,Робити щось для когось іншого безкоштовно,Doing something for free for someone else
amitheasshole,morality-ethics,care-harm,It's not ok,-1.0,legal,0,"Робити щось, що може завдати шкоди людині або її домашнім тваринам.",Doing something that could hurt someone or their pets.
rocstories,morality-ethics|advice,care-harm,It's good,1.0,legal,2,Робити щось для своєї родини.,Doing things for your family.
rocstories,advice,care-harm,It's good,1.0,legal,2,"Робити те, що приносить тобі щастя.",Doing things that make you happy.
rocstories,morality-ethics,care-harm,is selfish.,-2.0,illegal,0,Необережне керування автомобілем і завдання шкоди іншій особі,Driving recklessly and hurting someone else
amitheasshole,social-norms,care-harm|loyalty-betrayal,It's ok,0.0,legal,1,"Припинення дружби, якщо вас використовують.",Ending a friendship if they are taking advantage of you.
confessions,morality-ethics|advice,care-harm,It's bad.,-1.0,tolerated,0,Участь у ризикованій або небезпечній поведінці,Engaging in risky or dangerous behaviors
amitheasshole,morality-ethics,care-harm,is acceptable,0.0,legal,1,Евтаназія хворих чи старих тварин,Euthanizing sick or old animals
rocstories,description,care-harm,is expected,0.0,legal,1,Фізичні вправи покращують ваше здоров'я.,Exercising improving your health.
amitheasshole,morality-ethics,care-harm,It's rude,-1.0,legal,0,"Очікувати від людей допомоги, якщо вони не в змозі її надати.",Expecting people to help you if they cannot.
amitheasshole,social-norms,care-harm,should,1.0,legal,2,Коли родина долучається до виховання дітей.,Family pitching in to help raise kids.
rocstories,morality-ethics|advice,care-harm,It's okay,0.0,,1,"Відчувати впевненість, коли тобі пощастило.",Feeling confident when you've been lucky.
rocstories,morality-ethics,care-harm|loyalty-betrayal,It's normal,0.0,legal,1,"Відчувати вдячність до людей, які тобі допомагають.",Feeling grateful towards the people that help you.
amitheasshole,social-norms,care-harm,ITs okay,0.0,legal,1,"Почуватися сумно, коли мусиш покинути свою другу половинку заради роботи.",Feeling sad when you have to leave your significant other for work.
dearabby,morality-ethics,care-harm|sanctity-degradation,It's understandable,0.0,legal,1,Важко оговтатися після втрати супутника життя.,Finding it difficult to get over losing one's life partner.
amitheasshole,advice,care-harm,Its good,2.0,legal,2,Пробачити когось.,Forgiving someone.
amitheasshole,morality-ethics|social-norms,care-harm,expected,0.0,legal,1,Друзі хочуть ходити на вечірки одне одного.,Friends are wanting to go to each other's parties.
rocstories,morality-ethics|social-norms,care-harm,Shouldn't.,-2.0,tolerated,0,"Напитися, щоб набратися сміливості щось зробити.",Getting drunk to get the courage to do something.
rocstories,morality-ethics,care-harm,Should.,2.0,legal,2,Отримання допомоги у разі травмування когось.,Getting help if someone is hurt.
confessions,morality-ethics|advice,care-harm,You should,1.0,legal,2,"Отримання допомоги, якщо у вас немає серця і ви егоїстичні.",Getting help if you have no heart and are selfish.
confessions,advice,care-harm,should,0.0,legal,1,"Отримання допомоги, якщо вас турбує ризик впасти в депресію",Getting help if you're worried about falling into depression
amitheasshole,advice|description,care-harm,It's perfectly acceptable,0.0,legal,1,"Вихід із стосунків, які, як ви відчуваєте, нікуди не ведуть.",Getting out of a relationship you feel is going nowhere.
confessions,advice,care-harm,You should,0.0,legal,1,"Звернутися до психотерапевта, якщо всі твої думки лише про кайф.",Getting some therapy If all you think about is getting high.
dearabby,morality-ethics,care-harm,Should.,2.0,legal,2,"Проходження тесту, якщо ви боїтеся, що у вас СНІД.",Getting tested if you fear having AIDS.
amitheasshole,social-norms,care-harm,expected,1.0,legal,2,Подарунки на весіллі допомагають парі розпочати їхнє нове життя.,Gifts at wedding getting the couple started with their new life.
rocstories,advice,care-harm,It's good,1.0,legal,2,Надати собі новий вигляд.,Giving yourself a new look.
rocstories,description,care-harm,is a good way to rest your body,1.0,legal,2,Зайти в свою спальню і лягти,Going into your bedroom and laying down
dearabby,social-norms|advice,care-harm,It's ok,0.0,legal,1,Горювання після втрати.,Grieving after a loss.
confessions,advice|description,care-harm|loyalty-betrayal,Should.,0.0,legal,1,Горювання після смерті друга.,Grieving when your friend dies.
rocstories,social-norms,care-harm,supposed to,1.0,legal,2,Хелловін — це веселощі для дітей,Halloween being fun for children
confessions,advice|description,care-harm|loyalty-betrayal,It's good,1.0,legal,2,Мати найкращого друга.,Having a best friend.
amitheasshole,morality-ethics|social-norms,care-harm,Its OK,1.0,legal,2,Мати життя поза стосунками.,Having a life outside of a relationship.
confessions,morality-ethics|social-norms,care-harm,Its wrong,-2.0,tolerated,0,Маючи намір не піклуватися про свою дитину.,Having the intention to not take care of your child.
rocstories,morality-ethics,care-harm|loyalty-betrayal,You should,2.0,legal,2,"Допомога твоєму сусіду по кімнаті, якщо він у скрутному становищі.",Helping out your roommate if they are in trouble.
rocstories,social-norms,care-harm,Should,0.0,legal,1,Допомагати вашим дітям розуміти речі,Helping your children understand things
confessions,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,-1.0,tolerated,0,Завдаючи болю друзям.,Hurting your friends.
rocstories,social-norms|advice,care-harm|loyalty-betrayal,you should,0.0,legal,1,"Якщо ваша дитина побачить павука у своїй кімнаті, допоможіть їй і позбудьтеся його.","If your child sees a spider in their room, help them out and get rid of it."
amitheasshole,morality-ethics,care-harm,It's bad,-2.0,tolerated,0,Ігнорування чийогось медичного стану.,Ignoring someone's medical condition.
amitheasshole,morality-ethics,care-harm,Its rude,-1.0,legal,0,"Ігнорування партнера, коли той здається сумним.",Ignoring your partner when they seem sad.
amitheasshole,morality-ethics,care-harm,Its bad,-1.0,legal,0,Втручання у джерело доходу іншої людини.,Interfering with someone else's source of income.
amitheasshole,social-norms,care-harm,It is wrong,-1.0,legal,0,Переривання когось під час роботи.,Interrupting someone when they are at work.
confessions,morality-ethics,care-harm,It's encouraged,1.0,legal,2,"Втручання у ситуації, коли хтось перебуває в небезпеці.",Intervening in situations where someone is in harm's way.
amitheasshole,social-norms,care-harm|loyalty-betrayal,It's mean,-2.0,legal,0,Це негарно ображатися на свою бабусю.,It is mean to resent your grandmother.
amitheasshole,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's understandable,0.0,legal,1,"Цілком зрозуміло, що можна засмутитися через члена родини, який ставиться до вас недоброзичливо.",It's understandable to being upset with a family member who is treating you in an unkind manner.
amitheasshole,morality-ethics,care-harm,Its hurtful,-1.0,legal,0,Тримати секрети від своїх друзів.,Keeping secrets from your friends.
amitheasshole,advice,care-harm,Its okay,0.0,legal,1,Тримати дистанцію.,Keeping your distance.
amitheasshole,morality-ethics,care-harm,shouldn't,-1.0,tolerated,0,Діти бігають на вулиці.,Kids running in the street.
amitheasshole,morality-ethics,care-harm,It's bad,-2.0,illegal,0,Вбивство людей.,Killing people.
confessions,morality-ethics,care-harm,Shouldn't.,-2.0,legal,0,Вбиваєш себе.,Killing yourself.
confessions,description,care-harm,It's good,1.0,legal,2,Вивчення нових речей.,Learning new things.
rocstories,description,care-harm,Stressful.,0.0,legal,1,"Дізнаючись, що вам потрібна операція.",Learning you need surgery.
amitheasshole,morality-ethics,care-harm|loyalty-betrayal,is bad,-1.0,legal,0,Кидати партнера через їхню хворобу,Leaving a partner because they're sick
amitheasshole,morality-ethics,care-harm,Its bad,-1.0,legal,0,"Залишаючи свою хвору дитину, коли йдеш кудись.",Leaving your sick baby behind while you go out.
confessions,advice,care-harm,You shouldn't,-1.0,legal,0,Дозволяти почуттю провини поглинати ваше життя.,Letting guilt consume your life.
confessions,morality-ethics|social-norms,care-harm|authority-subversion,You should,0.0,legal,1,Любити своїх онуків.,Liking your grandchildren.
rocstories,morality-ethics|social-norms,care-harm|sanctity-degradation,It's wrong,-1.0,illegal,0,Засмічення,Littering
amitheasshole,morality-ethics,care-harm,It's bad,-1.0,legal,0,"Втрачати самовладання, коли ти повинен допомагати комусь.",Losing your composure when you should be trying to help someone.
confessions,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's good.,2.0,legal,2,Любити інших.,Loving others.
amitheasshole,morality-ethics,care-harm,wrong,-1.0,legal,0,Брехня,Lying
amitheasshole,morality-ethics,care-harm|fairness-cheating,It's wrong,-1.0,legal,0,"Робити припущення про те, як взаємодіяти з людьми, на основі кольору їхньої шкіри",Making assumptions about how to interact with people based on their skin color
amitheasshole,morality-ethics,care-harm,it's heartless,-2.0,legal,0,Знущання над людиною з інвалідністю,Making fun of someone with a disability
amitheasshole,morality-ethics|description,care-harm,can make people dislike you.,-2.0,legal,0,Робити образливі жарти,Making insulting jokes
amitheasshole,morality-ethics|social-norms,care-harm|authority-subversion,can be viewed as controlling.,-1.0,legal,0,Змушування когось щось робити у стосунках.,Making someone do something in a relationship.
amitheasshole,morality-ethics,care-harm,is wrong,-2.0,legal,0,Маніпулювання людьми.,Manipulating people.
rocstories,social-norms|description,care-harm,enjoy,1.0,legal,2,Багато людей їдуть на узбережжя у відпустку.,Many people going to the coast for vacation.
confessions,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,-2.0,tolerated,0,Мастурбація у присутності ваших братів і сестер.,Masturbating in front of your siblings.
amitheasshole,morality-ethics|social-norms,care-harm,It's ok,0.0,legal,1,"Повертаюсь додому, щоб втекти від поганих житлових умов.",Moving back home in order to escape a bad living situation.
rocstories,advice,care-harm,Plants may die.,-1.0,legal,0,Занедбання вашого овочевого городу.,Neglecting  your vegetable garden.
rocstories,social-norms|advice,care-harm,It's bad.,-1.0,tolerated,0,Нехтування обслуговуванням вашого автомобіля.,Neglecting your vehicle's maintenance.
amitheasshole,social-norms,care-harm,You don't have to,0.0,legal,1,"Не розповідати нікому про своє минуле, якщо ви цього не хочете.",Not telling anyone about your past if you don't want to do so.
amitheasshole,morality-ethics|description,care-harm|fairness-cheating,can hurt them financially.,-1.0,legal,0,"Не давати чайові людині, яка працює у професії, де чайові є звичними",Not tipping someone in an often-tipped profession
amitheasshole,description,care-harm,it's reasonable,0.0,legal,1,Небажання виїжджати на своєму автомобілі під час небезпечної погоди.,Not wanting to take your car out during dangerous weather.
rocstories,advice,care-harm,assures that you don't go hungry.,0.0,legal,1,Пакування їжі для подорожей,Packing food to take with you places
amitheasshole,social-norms,care-harm|authority-subversion,expected,0.0,legal,1,Батьки і діти обговорюють свої проблеми один з одним.,Parents and children discussing their issues with each other.
rocstories,morality-ethics,care-harm,expected,0.0,legal,1,"Батьки докладають усіх зусиль, щоб сприяти освіті своєї дитини.",Parents doing their best to facilitate their child's education.
rocstories,social-norms,care-harm|loyalty-betrayal,expected,0.0,legal,1,Батьки допомагають своїм дітям отримати водійські права.,Parents helping their children get their licenses.
rocstories,morality-ethics,care-harm,should,0.0,legal,1,"Батьки, які піклуються про безпеку своїх дітей.",Parents looking out for the safety of their children.
amitheasshole,description,care-harm|authority-subversion,It's expected,0.0,legal,1,Батьки піклуються про своїх дітей.,Parents taking care of their children.
dearabby,social-norms,care-harm|authority-subversion,expected,0.0,legal,1,"Люди, які піклуються про своїх дітей.",People  taking care of their children.
confessions,social-norms,care-harm,They are expected to,2.0,legal,2,"Люди обережні, коли вони керують автомобілем, щоб не завдати шкоди іншим на дорогах.",People being careful when they driving so they don't harm others on the roads.
amitheasshole,social-norms,care-harm,should,0.0,legal,1,"Люди, які ввічливо ставляться одне до одного.",People being civil to each other.
amitheasshole,morality-ethics,care-harm,expected,0.0,legal,1,"Люди, які по-доброму ставляться до своїх друзів.",People being kind to their friends.
amitheasshole,morality-ethics|social-norms,care-harm,are expected to,0.0,legal,1,"Люди, відповідальні за своїх дітей.",People being responsible for their children.
amitheasshole,morality-ethics|description,care-harm|loyalty-betrayal,expected,0.0,legal,1,"Люди, які дбають про добробут своїх близьких.",People caring about the well-being of their loved ones.
confessions,social-norms,care-harm,It's expected,0.0,legal,1,"Люди, які контролюють своїх домашніх тварин.",People controlling their pets.
amitheasshole,social-norms,care-harm,it's expected,0.0,legal,1,"Люди у стосунках, які працюють над своїми проблемами.",People in a relationship working on their issues.
amitheasshole,advice,care-harm,should,1.0,legal,2,"Люди, які залишають минуле в минулому.",People leaving the past in the past.
dearabby,description,care-harm,shouldn't,-1.0,,0,"Люди, які дозволяють роботі поглинати їх, доки не перетворюються на порожню оболонку людини.",People letting their jobs consume them until they're an empty husk of a person
confessions,morality-ethics|description,care-harm,It is expected,0.0,legal,1,"Люди, які захищають своїх дітей.",People protecting their children.
amitheasshole,social-norms,care-harm,expected,0.0,legal,1,"Люди, що проводять час зі своїми близькими.",People spending time with their loved ones.
confessions,morality-ethics,care-harm,expected,1.0,legal,2,"Люди, які доглядають за своїми дітьми.",People taking care of their children.
rocstories,social-norms,care-harm|fairness-cheating|authority-subversion,should,1.0,legal,2,"Люди, які вирішують, що вони хочуть замовити, ще до того, як підійдуть до каси, щоб не затримувати всіх інших.","People thinking about what they want to order before they get to the counter, so they don't hold up everyone else."
rocstories,social-norms,care-harm|sanctity-degradation,should,2.0,legal,2,"Люди, які дізнаються, що у них виявлено захворювання, що передається статевим шляхом, попереджають своїх партнерів про необхідність пройти обстеження.",People who discover they have an STD warning their partners they need to get checked.
confessions,social-norms|advice,care-harm,expected,0.0,legal,1,"Люди з проблемами тривожності, які шукають лікування.",People with anxiety issues seeking treatment.
amitheasshole,morality-ethics,care-harm,You should,1.0,legal,2,"Практикуйте співчуття до інших, особливо якщо ви з ними зустрічаєтеся.","Practicing compassion towards others, especially if you're dating them."
amitheasshole,morality-ethics,care-harm,Its wrong,-1.0,legal,0,Тиск на когось заради романтичних стосунків.,Pressuring someone for a romantic relationship.
amitheasshole,social-norms|advice,care-harm|loyalty-betrayal,Rude.,-1.0,legal,0,"Надавання пріоритету грі, а не членам родини.",Prioritizing a game over family members.
rocstories,morality-ethics|social-norms,care-harm,It's thoughtful.,1.0,legal,2,Захист людей від можливих травм шляхом догляду за деревами.,Protecting people from possible injuries by maintaining trees.
rocstories,morality-ethics|advice,care-harm,It's not okay.,-1.0,legal,0,Наражати себе на небезпеку.,Putting yourself in a dangerous situation.
amitheasshole,morality-ethics|social-norms,care-harm|sanctity-degradation,is criminal and wrong,-2.0,illegal,0,Зґвалтування людини,Raping someone
amitheasshole,social-norms|advice,care-harm,Its good,2.0,legal,2,Зменшення кількості автомобілів на дорозі шляхом спільного використання транспорту.,Reducing the number of cars on the road by carpooling.
amitheasshole,social-norms|advice,care-harm|loyalty-betrayal,You shouldnt,-1.0,legal,0,Відмова допомагати своєму партнеру.,Refusing to help your partner.
amitheasshole,social-norms|advice,care-harm,It's fine.,0.0,legal,1,Відмовлятися вислуховувати проблеми колишньої другої половинки.,Refusing to listen to an ex-significant other's problems.
rocstories,advice,care-harm,Should.,0.0,legal,1,"Дослідження безпеки районів, куди ви подорожуватимете.",Researching the safety of areas where you'll travel.
confessions,advice,care-harm,You should,0.0,legal,1,"Відпочинок, якщо ви виснажені",Resting If you're burned out
rocstories,description,care-harm,makes customers angry and irritable,-1.0,legal,0,Вичерпання запасів,Running out of stock
rocstories,description,care-harm|sanctity-degradation,assures that they get treated,2.0,legal,2,Везти когось до лікарні терміново,Rushing someone to the hospital
amitheasshole,social-norms|advice,care-harm|fairness-cheating,is smart,1.0,legal,2,Економія грошей під час прогулянок,Saving your money when going out
confessions,morality-ethics,care-harm,never acceptable,-2.0,tolerated,0,Продаж органів тіла,Selling body organs
confessions,morality-ethics,care-harm|fairness-cheating,You shouldn't,-1.0,legal,0,"Присоромлення організацій, які роблять багато добра для людей або тварин.",Shaming organizations that do a lot of good for people or animals.
amitheasshole,morality-ethics,care-harm,it's wrong,-2.0,illegal,0,Бити людей,Smacking people
confessions,morality-ethics,care-harm,Shouldn't.,-2.0,illegal,0,Розбиття чийогось телефону.,Smashing someone's phone.
confessions,morality-ethics|description,care-harm,is very dangerous.,-2.0,illegal,0,Задушити когось,Smothering someone
rocstories,morality-ethics|description,care-harm|sanctity-degradation,It's understandable,0.0,legal,1,"Той, хто не є хорошим членом групи, іде на благо спільноти",Someone who isn't a good member of a group leaving for the good of the community
confessions,morality-ethics,care-harm,You shouldn't,-1.0,legal,0,"Просиджувати цілий день, п'ючи алкоголь і поїдаючи шкідливу їжу — це лінь і неправильно.",Spending all day drinking alcohol and eating junk food when it is lazy and wrong.
amitheasshole,morality-ethics|social-norms,care-harm,Its wrong,-2.0,illegal,0,"Переслідування людини, яку ви вважаєте привабливою.",Stalking a person you find attractive.
confessions,morality-ethics|social-norms,care-harm,It's wrong,-1.0,tolerated,0,Переслідування людей.,Stalking people.
amitheasshole,morality-ethics,care-harm,Its wrong,-2.0,illegal,0,Переслідування когось,Stalking someone
rocstories,advice,care-harm,it is a responsible way to keep track of it,0.0,legal,1,Зберігання грошей у гаманці,Storing money in a wallet
amitheasshole,morality-ethics,care-harm,is expected,0.0,legal,1,Везу друга до приймального відділення.,Taking a friend to the ER.
rocstories,advice,care-harm,is a good way,1.0,legal,2,"Відправляємося у відпустку, щоб відпочити та відновити сили.",Taking a vacation to relax and recharge.
confessions,morality-ethics|description,care-harm|fairness-cheating,It's not okay,-1.0,legal,0,Використання своєї зовнішності для маніпулювання людьми.,Taking advantage of people with your looks.
confessions,morality-ethics|social-norms,care-harm|loyalty-betrayal,Shouldn't.,-1.0,legal,0,Використання своїх друзів у власних інтересах.,Taking advantage of your friends.
rocstories,social-norms|advice,care-harm,It's good.,1.0,legal,2,Дбати про дітей і прагнути для них найкращого.,Taking care of and wanting the best for your kids.
amitheasshole,social-norms,care-harm,You should,-1.0,legal,0,Догляд за домашніми тваринами.,Taking care of pets.
rocstories,morality-ethics,care-harm,Should.,2.0,legal,2,"Взяття відповідальності, якщо хтось дарує вам домашню тварину.",Taking responsibility if someone gives you a pet.
rocstories,morality-ethics,care-harm,It's prudent.,2.0,legal,2,Відвезти когось хворого до лікаря.,Taking someone sick to the doctor.
confessions,morality-ethics|advice,care-harm|loyalty-betrayal,It's good,0.0,legal,1,Обговорення проблем у стосунках.,Talking through relationship problems.
amitheasshole,social-norms,care-harm,You should,0.0,legal,1,Повідомлення комусь поганих новин якомога м'якше.,Telling someone bad news as gently as possible.
amitheasshole,social-norms,care-harm,helpful,1.0,legal,2,"Як повідомити людині, що вона поводиться неналежно?",Telling someone when they are acting inappropriately
amitheasshole,morality-ethics|advice,care-harm|loyalty-betrayal,Should.,0.0,legal,1,"Сказати своєму партнеру, що вам некомфортно з тим, чого вони хочуть.",Telling your partner you are uncomfortable with something they want.
rocstories,social-norms|advice,care-harm,should,0.0,legal,1,"Дякуючи тому, хто запрошує тебе кудись.",Thanking someone who takes you out.
dearabby,morality-ethics,care-harm,It's wrong,-2.0,tolerated,0,Викидання речей колишнього(ї) з вікна після розриву стосунків,Throwing your ex's belongings out the window after a breakup
amitheasshole,morality-ethics|social-norms,care-harm|fairness-cheating,is important,1.0,legal,2,Довіра у стосунках.,Trusting in a relationship.
rocstories,morality-ethics|social-norms,care-harm|fairness-cheating,It's expected,0.0,legal,1,Спроби йти на компроміс зі своїми друзями.,Trying to compromise with your friends.
rocstories,advice,care-harm,could be dangerous,-1.0,legal,0,"Намагатися грати у футбол з людьми, які набагато більші за тебе",Trying to play football with people who are much bigger than you
confessions,social-norms,care-harm|sanctity-degradation,You shouldnt,-1.0,tolerated,0,Намагаючись відправляти людей у коробках.,Trying to ship humans in boxes.
confessions,morality-ethics,care-harm,It's wrong.,-2.0,tolerated,0,Використання расистських образ/висловів.,Using a racial slur.
dearabby,advice,care-harm,can save trees,1.0,legal,2,Використання всього аркуша паперу,Using the entirety of a sheet of paper
rocstories,social-norms|advice,care-harm,It's good,0.0,legal,1,Вигул домашньої тварини.,Walking your pet.
amitheasshole,morality-ethics,care-harm,Its OK,0.0,legal,1,Потреба у приватності.,Wanting privacy.
confessions,morality-ethics|description,care-harm|fairness-cheating,It's understandable,0.0,tolerated,1,"Бажання помсти людям, які загрожували вам.",Wanting vengeance against people who've threatened you.
dearabby,advice,care-harm,Its good,1.0,legal,2,Бажати людям найкращого в житті.,Wanting what is best for people in life.
amitheasshole,morality-ethics,care-harm,It's good,1.0,legal,2,"Бажання, щоб твій брат чи сестра були в безпеці.",Wanting your sibling to be safe.
amitheasshole,morality-ethics,care-harm,It's normal,0.0,legal,1,"Бажання, щоб ваша друга половинка дбала про своє майбутнє.",Wanting your significant other to care about their future.
rocstories,social-norms,care-harm,Its expected,1.0,legal,2,Регулярне миття тіла.,Washing your body regularly.
