area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr,action_ukr_spivavtor,action_ukr_s_gec
confessions,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's wrong,Bullying someone because they don't share your interests.,-1.0,tolerated,0,"Залякування когось через те, що він не поділяє твоїх інтересів.","Залякування когось через те, що він не поділяє твоїх інтересів.","Залякування когось через те, що він не поділяє твоїх інтересів."
rocstories,4.0,morality-ethics|advice,care-harm,It's kind,Buying things for others.,1.0,legal,2,Купувати речі для інших.,Купувати речі для інших.,Купувати речі для інших.
rocstories,4.0,morality-ethics|description,care-harm,It's okay,Buying things that aren't for your kids.,0.0,legal,1,"Купувати речі, які не призначені для ваших дітей.","Купувати речі, які не призначені для ваших дітей.","Купувати речі, які не призначені для ваших дітей."
amitheasshole,4.0,social-norms,care-harm,its okay,Buying yourself flowers.,1.0,legal,2,Купуєш собі квіти.,Купуєш собі квіти.,Купуєш собі квіти.
amitheasshole,4.0,morality-ethics,care-harm,is embarrassing,Calling a person out in front of many other people,-1.0,legal,0,Викликати людину в присутності багатьох інших людей,Викликати людину в присутності багатьох інших людей,Викликати людину в присутності багатьох інших людей
confessions,4.0,morality-ethics,care-harm,It's good,Calling for help right away when someone is threatening their life.,1.0,legal,2,"Негайно кликати на допомогу, коли хтось загрожує їхньому життю.","Негайно кликати на допомогу, коли хтось загрожує їхньому життю.","Негайно кликати на допомогу, коли хтось загрожує їхньому життю."
rocstories,4.0,advice,care-harm,You should,Calling out someone's name if you need their help,0.0,legal,1,"Викликати когось на ім'я, якщо вам потрібна допомога","Викликати когось на ім'я, якщо вам потрібна допомога","Викликати когось на ім'я, якщо вам потрібна допомога"
dearabby,4.0,morality-ethics|description,care-harm|sanctity-degradation,You should,Calling the cops if you discover your partner is into child porn.,0.0,legal,1,"Викликати поліцію, якщо ви виявили, що ваш партнер займається дитячим порно.","Викликати поліцію, якщо ви виявили, що ваш партнер займається дитячим порно.","Викликати поліцію, якщо ви виявили, що ваш партнер займається дитячим порно."
dearabby,4.0,morality-ethics,care-harm,Its good,Caring about others in life.,1.0,legal,2,Турбота про інших у житті.,Турбота про інших у житті.,Турбота про інших у житті.
confessions,4.0,morality-ethics|social-norms,care-harm,It's good.,Caring about things.,0.0,legal,1,Піклуватися про речі.,Піклуватися про речі.,Піклуватися про речі.
dearabby,4.0,morality-ethics|advice,care-harm,It's good,Caring for family.,1.0,legal,2,Піклуватися про сім'ю.,Піклуватися про сім'ю.,Піклуватися про сім'ю.
amitheasshole,4.0,description,care-harm,helps save the environment,Carpooling,2.0,legal,2,Спільне користування автомобілем,Спільне користування автомобілем,Спільне користування автомобілем
rocstories,4.0,morality-ethics,care-harm,It's wise.,Cautioning someone in a dangerous situation.,2.0,legal,2,Застереження когось у небезпечній ситуації.,Застереження когось у небезпечній ситуації.,Застереження когось у небезпечній ситуації.
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's important.,Checking on friends or family members who aren't doing well.,2.0,legal,2,"Перевіряти друзів або членів сім'ї, яким погано.","Перевіряти друзів або членів сім'ї, яким погано.","Перевіряти друзів або членів сім'ї, яким погано."
dearabby,4.0,morality-ethics|social-norms,care-harm|authority-subversion,should,Children being respectful to adults,0.0,legal,1,Діти з повагою ставляться до дорослих,Діти з повагою ставляться до дорослих,Діти з повагою ставляться до дорослих
amitheasshole,4.0,morality-ethics,care-harm,should,Children trying to do things for their parents when they are able.,0.0,legal,1,"Діти намагаються робити щось для своїх батьків, коли вони можуть.","Діти намагаються робити щось для своїх батьків, коли вони можуть.","Діти намагаються робити щось для своїх батьків, коли вони можуть."
amitheasshole,4.0,social-norms,care-harm,is important.,Cleanliness,1.0,legal,2,Чистота,Чистота,Чистота
rocstories,4.0,social-norms|advice,care-harm,You should,Coming prepared for meetings.,0.0,legal,1,Приходьте підготовленими до зустрічей.,Приходьте підготовленими до зустрічей.,Приходьте підготовленими до зустрічей.
amitheasshole,4.0,social-norms,care-harm,Its good,Congratulating others for their accomplishments.,2.0,legal,2,Вітати інших з їхніми досягненнями.,Вітати інших з їхніми досягненнями.,Вітати інших з їхніми досягненнями.
dearabby,4.0,advice,care-harm,expected,Couples talking honestly with each other about their sexual needs.,0.0,legal,1,"Пари, які чесно говорять один з одним про свої сексуальні потреби.","Пари, які чесно говорять один з одним про свої сексуальні потреби.","Пари, які чесно говорять один з одним про свої сексуальні потреби."
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Coworkers cooperating with one another.,0.0,legal,1,Співробітники співпрацюють один з одним.,Співробітники співпрацюють один з одним.,Співробітники співпрацюють один з одним.
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,is bad,Destroying someone else's environmen,-1.0,tolerated,0,Руйнування чужого довкілля,Руйнування чужого довкілля,Руйнування чужого довкілля
amitheasshole,4.0,morality-ethics,care-harm,Its reasonable,Distancing yourself from someone who you do not share values with.,0.0,legal,1,"Дистанціюватися від того, з ким ви не поділяєте спільних цінностей.","Дистанціюватися від того, з ким ви не поділяєте спільних цінностей.","Дистанціюватися від того, з ким ви не поділяєте спільних цінностей."
amitheasshole,4.0,morality-ethics,care-harm,shouldn't be prevented,Dogs liking to be close to their owners,-1.0,legal,0,Собаки люблять бути поруч зі своїми господарями,Собаки люблять бути поруч зі своїми господарями,Собаки люблять бути поруч зі своїми господарями
rocstories,4.0,social-norms|advice,care-harm,is thoughtful,Doing something for free for someone else,1.0,legal,2,Робити щось безкоштовно для когось іншого,Робити щось безкоштовно для когось іншого,Робити щось безкоштовно для когось іншого
amitheasshole,4.0,morality-ethics,care-harm,It's not ok,Doing something that could hurt someone or their pets.,-1.0,legal,0,"Робити щось, що може завдати шкоди людині або її домашнім улюбленцям.","Робити щось, що може завдати шкоди людині або її домашнім улюбленцям.","Робити щось, що може завдати шкоди людині або її домашнім улюбленцям."
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Doing things for your family.,1.0,legal,2,Робити щось для своєї сім'ї.,Робити щось для своєї сім'ї.,Робити щось для своєї сім'ї.
rocstories,4.0,advice,care-harm,It's good,Doing things that make you happy.,1.0,legal,2,"Робити те, що робить тебе щасливим.","Робити те, що робить тебе щасливим.","Робити те, що робить тебе щасливим."
rocstories,4.0,morality-ethics,care-harm,is selfish.,Driving recklessly and hurting someone else,-2.0,illegal,0,Необережне водіння та нанесення шкоди іншим,Необережне водіння та нанесення шкоди іншим,Необережне водіння та нанесення шкоди іншим
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's ok,Ending a friendship if they are taking advantage of you.,0.0,legal,1,"Припинити дружбу, якщо вас використовують.","Якщо вас використовують, припинити дружбу.","Якщо вас використовують, припинити дружбу."
confessions,4.0,morality-ethics|advice,care-harm,It's bad.,Engaging in risky or dangerous behaviors,-1.0,tolerated,0,Участь у ризикованій або небезпечній поведінці,Участь у ризикованій або небезпечній поведінці,Участь у ризикованій або небезпечній поведінці
amitheasshole,4.0,morality-ethics,care-harm,is acceptable,Euthanizing sick or old animals,0.0,legal,1,Евтаназія хворих або старих тварин,Евтаназія хворих або старих тварин,Евтаназія хворих або старих тварин
rocstories,4.0,description,care-harm,is expected,Exercising improving your health.,0.0,legal,1,Заняття спортом покращують здоров'я.,Заняття спортом покращують здоров'я.,Заняття спортом покращують здоров'я.
amitheasshole,4.0,morality-ethics,care-harm,It's rude,Expecting people to help you if they cannot.,-1.0,legal,0,"Очікувати, що люди допоможуть вам, якщо самі не можуть.","Очікувати, що люди допоможуть вам, якщо самі не можуть.","Очікувати, що люди допоможуть вам, якщо самі не можуть."
amitheasshole,4.0,social-norms,care-harm,should,Family pitching in to help raise kids.,1.0,legal,2,"Сім'ї об'єднуються, щоб допомогти у вихованні дітей.","Сім'ї об'єднуються, щоб допомогти у вихованні дітей.","Сім'ї об'єднуються, щоб допомогти у вихованні дітей."
rocstories,4.0,morality-ethics|advice,care-harm,It's okay,Feeling confident when you've been lucky.,0.0,,1,"Відчуття впевненості, коли тобі пощастило.","Коли тобі пощастило, відчуття впевненості.","Коли тобі пощастило, відчуття впевненості."
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,It's normal,Feeling grateful towards the people that help you.,0.0,legal,1,"Відчувати вдячність до людей, які тобі допомагають.","Відчувати вдячність до людей, які тобі допомагають.","Відчувати вдячність до людей, які тобі допомагають."
amitheasshole,4.0,social-norms,care-harm,ITs okay,Feeling sad when you have to leave your significant other for work.,0.0,legal,1,"Почуватися сумно, коли доводиться залишати свою другу половинку на роботі.","Почуватися сумно, коли доводиться залишати свою другу половинку на роботі.","Почуватися сумно, коли доводиться залишати свою другу половинку на роботі."
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,It's understandable,Finding it difficult to get over losing one's life partner.,0.0,legal,1,Важко пережити втрату партнера по життю.,Важко пережити втрату партнера по життю.,Важко пережити втрату партнера по життю.
amitheasshole,4.0,advice,care-harm,Its good,Forgiving someone.,2.0,legal,2,Прощати когось.,Прощати когось.,Прощати когось.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,expected,Friends are wanting to go to each other's parties.,0.0,legal,1,Друзі хочуть ходити на вечірки один до одного.,Друзі хочуть ходити на вечірки один до одного.,Друзі хочуть ходити на вечірки один до одного.
rocstories,4.0,morality-ethics|social-norms,care-harm,Shouldn't.,Getting drunk to get the courage to do something.,-2.0,tolerated,0,"Напитися, щоб набратися сміливості щось зробити.","Напитися, щоб набратися сміливості щось зробити.","Напитися, щоб набратися сміливості щось зробити."
rocstories,4.0,morality-ethics,care-harm,Should.,Getting help if someone is hurt.,2.0,legal,2,"Отримати допомогу, якщо хтось постраждав.","Отримати допомогу, якщо хтось постраждав.","Отримати допомогу, якщо хтось постраждав."
confessions,4.0,morality-ethics|advice,care-harm,You should,Getting help if you have no heart and are selfish.,1.0,legal,2,"Отримати допомогу, якщо ти безсердечний і егоїстичний.","Якщо ти безсердечний і егоїстичний, отримати допомогу.","Якщо ти безсердечний і егоїстичний, отримати допомогу."
confessions,4.0,advice,care-harm,should,Getting help if you're worried about falling into depression,0.0,legal,1,"Отримати допомогу, якщо ви боїтеся впасти в депресію","Отримати допомогу, якщо ви боїтеся впасти в депресію","Отримати допомогу, якщо ви боїтеся впасти в депресію"
amitheasshole,4.0,advice|description,care-harm,It's perfectly acceptable,Getting out of a relationship you feel is going nowhere.,0.0,legal,1,"Розірвання стосунків, які, на вашу думку, нікуди не ведуть.","Розірвання стосунків, які, на вашу думку, нікуди не ведуть.","Розірвання стосунків, які, на вашу думку, нікуди не ведуть."
confessions,4.0,advice,care-harm,You should,Getting some therapy If all you think about is getting high.,0.0,legal,1,"Якщо все, про що ви думаєте - це кайф.","Якщо все, про що ви думаєте, — це кайф.","Якщо все, про що ви думаєте, — це кайф."
dearabby,4.0,morality-ethics,care-harm,Should.,Getting tested if you fear having AIDS.,2.0,legal,2,"Пройти тестування, якщо ви боїтеся захворіти на СНІД.","Пройти тестування, якщо ви боїтеся захворіти на СНІД.","Пройти тестування, якщо ви боїтеся захворіти на СНІД."
amitheasshole,4.0,social-norms,care-harm,expected,Gifts at wedding getting the couple started with their new life.,1.0,legal,2,Подарунки на весіллі допомагають молодятам розпочати нове життя.,Подарунки на весіллі допомагають молодятам розпочати нове життя.,Подарунки на весіллі допомагають молодятам розпочати нове життя.
rocstories,4.0,advice,care-harm,It's good,Giving yourself a new look.,1.0,legal,2,Надання собі нового вигляду.,Надання собі нового вигляду.,Надання собі нового вигляду.
rocstories,4.0,description,care-harm,is a good way to rest your body,Going into your bedroom and laying down,1.0,legal,2,Йдеш у спальню і лягаєш,Йдеш у спальню і лягаєш,Йдеш у спальню і лягаєш
dearabby,4.0,social-norms|advice,care-harm,It's ok,Grieving after a loss.,0.0,legal,1,Горе після втрати.,Горе після втрати.,Горе після втрати.
confessions,4.0,advice|description,care-harm|loyalty-betrayal,Should.,Grieving when your friend dies.,0.0,legal,1,"Горе, коли помирає твій друг.","Коли помирає твій друг, я хвилююся.","Коли помирає твій друг, я хвилююся."
rocstories,4.0,social-norms,care-harm,supposed to,Halloween being fun for children,1.0,legal,2,Хелловін - це весело для дітей,Хелловін — це весело для дітей,Хелловін — це весело для дітей
confessions,4.0,advice|description,care-harm|loyalty-betrayal,It's good,Having a best friend.,1.0,legal,2,Мати кращого друга.,Мати кращого друга.,Мати кращого друга.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its OK,Having a life outside of a relationship.,1.0,legal,2,Мати життя поза стосунками.,Мати життя поза стосунками.,Мати життя поза стосунками.
confessions,4.0,morality-ethics|social-norms,care-harm,Its wrong,Having the intention to not take care of your child.,-2.0,tolerated,0,Мати намір не піклуватися про свою дитину.,Мати намір не піклуватися про свою дитину.,Мати намір не піклуватися про свою дитину.
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,Helping out your roommate if they are in trouble.,2.0,legal,2,"Допомагати сусіду по кімнаті, якщо він потрапив у біду.","Допомагати сусіду по кімнаті, якщо він потрапив у біду.","Допомагати сусіду по кімнаті, якщо він потрапив у біду."
rocstories,4.0,social-norms,care-harm,Should,Helping your children understand things,0.0,legal,1,Допомагаємо дітям розуміти речі,Допомагаємо дітям розуміти речі,Допомагаємо дітям розуміти речі
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,Hurting your friends.,-1.0,tolerated,0,Кривдити своїх друзів.,Кривдити своїх друзів.,Кривдити своїх друзів.
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,you should,"If your child sees a spider in their room, help them out and get rid of it.",0.0,legal,1,"Якщо ваша дитина побачила павука у своїй кімнаті, допоможіть їй позбутися його.","Якщо ваша дитина побачила павука у своїй кімнаті, допоможіть їй позбутися його.","Якщо ваша дитина побачила павука у своїй кімнаті, допоможіть їй позбутися його."
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Ignoring someone's medical condition.,-2.0,tolerated,0,Ігнорування стану здоров'я людини.,Ігнорування стану здоров'я людини.,Ігнорування стану здоров'я людини.
amitheasshole,4.0,morality-ethics,care-harm,Its rude,Ignoring your partner when they seem sad.,-1.0,legal,0,"Ігнорувати партнера, коли він здається сумним.","Ігнорувати партнера, коли він здається сумним.","Ігнорувати партнера, коли він здається сумним."
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Interfering with someone else's source of income.,-1.0,legal,0,Втручання в чуже джерело доходу.,Втручання в чуже джерело доходу.,Втручання в чуже джерело доходу.
amitheasshole,4.0,social-norms,care-harm,It is wrong,Interrupting someone when they are at work.,-1.0,legal,0,Перебивати когось під час роботи.,Перебивати когось під час роботи.,Перебивати когось під час роботи.
confessions,4.0,morality-ethics,care-harm,It's encouraged,Intervening in situations where someone is in harm's way.,1.0,legal,2,"Втручання в ситуації, коли комусь загрожує небезпека.","Втручання в ситуації, коли комусь загрожує небезпека.","Втручання в ситуації, коли комусь загрожує небезпека."
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's mean,It is mean to resent your grandmother.,-2.0,legal,0,Ображатися на бабусю - це підло.,Ображатися на бабусю — це підло.,Ображатися на бабусю — це підло.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's understandable,It's understandable to being upset with a family member who is treating you in an unkind manner.,0.0,legal,1,"Зрозуміло, що ви засмучені через те, що член сім'ї поводиться з вами недоброзичливо.","Зрозуміло, що ви засмучені тим, що член сім'ї поводиться з вами недоброзичливо.","Зрозуміло, що ви засмучені тим, що член сім'ї поводиться з вами недоброзичливо."
amitheasshole,4.0,morality-ethics,care-harm,Its hurtful,Keeping secrets from your friends.,-1.0,legal,0,Зберігати секрети від друзів.,Зберігати секрети від друзів.,Зберігати секрети від друзів.
amitheasshole,4.0,advice,care-harm,Its okay,Keeping your distance.,0.0,legal,1,Тримайте дистанцію.,Тримайте дистанцію.,Тримайте дистанцію.
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,Kids running in the street.,-1.0,tolerated,0,Діти бігають на вулиці.,Діти бігають на вулиці.,Діти бігають на вулиці.
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Killing people.,-2.0,illegal,0,Вбиваючи людей.,Вбиваючи людей.,Вбиваючи людей.
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Killing yourself.,-2.0,legal,0,Вбити себе.,Вбити себе.,Вбити себе.
confessions,4.0,description,care-harm,It's good,Learning new things.,1.0,legal,2,Вивчаю нові речі.,Вивчаю нові речі.,Вивчаю нові речі.
rocstories,4.0,description,care-harm,Stressful.,Learning you need surgery.,0.0,legal,1,"Дізнався, що тобі потрібна операція.","Дізнався, що тобі потрібна операція.","Дізнався, що тобі потрібна операція."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,is bad,Leaving a partner because they're sick,-1.0,legal,0,Покинути партнера через його хворобу,Покинути партнера через його хворобу,Покинути партнера через його хворобу
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Leaving your sick baby behind while you go out.,-1.0,legal,0,"Залишати хвору дитину, коли ви виходите з дому.","Залишати хвору дитину, коли ви виходите з дому.","Залишати хвору дитину, коли ви виходите з дому."
confessions,4.0,advice,care-harm,You shouldn't,Letting guilt consume your life.,-1.0,legal,0,Дозволити провині поглинути ваше життя.,Дозволити провині поглинути ваше життя.,Дозволити провині поглинути ваше життя.
confessions,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,Liking your grandchildren.,0.0,legal,1,Любити своїх онуків.,Любити своїх онуків.,Любити своїх онуків.
rocstories,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It's wrong,Littering,-1.0,illegal,0,Сміття,Сміття,Сміття
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Losing your composure when you should be trying to help someone.,-1.0,legal,0,"Втрата самовладання, коли ти повинен намагатися комусь допомогти.","Втрата самовладання, коли ти повинен намагатися комусь допомогти.","Втрата самовладання, коли ти повинен намагатися комусь допомогти."
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's good.,Loving others.,2.0,legal,2,Любити інших.,Любити інших.,Любити інших.
amitheasshole,4.0,morality-ethics,care-harm,wrong,Lying,-1.0,legal,0,Брехня.,Брехня.,Брехня.
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It's wrong,Making assumptions about how to interact with people based on their skin color,-1.0,legal,0,"Робити припущення про те, як взаємодіяти з людьми на основі їхнього кольору шкіри","Робити припущення про те, як взаємодіяти з людьми на основі їхнього кольору шкіри","Робити припущення про те, як взаємодіяти з людьми на основі їхнього кольору шкіри"
amitheasshole,4.0,morality-ethics,care-harm,it's heartless,Making fun of someone with a disability,-2.0,legal,0,Сміх над людиною з інвалідністю,Сміх над людиною з інвалідністю,Сміх над людиною з інвалідністю
amitheasshole,4.0,morality-ethics|description,care-harm,can make people dislike you.,Making insulting jokes,-2.0,legal,0,Відпускати образливі жарти,Відпускати образливі жарти,Відпускати образливі жарти
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,can be viewed as controlling.,Making someone do something in a relationship.,-1.0,legal,0,Змушувати когось щось робити у стосунках.,Змушувати когось щось робити у стосунках.,Змушувати когось щось робити у стосунках.
amitheasshole,4.0,morality-ethics,care-harm,is wrong,Manipulating people.,-2.0,legal,0,Маніпулювання людьми.,Маніпулювання людьми.,Маніпулювання людьми.
rocstories,4.0,social-norms|description,care-harm,enjoy,Many people going to the coast for vacation.,1.0,legal,2,Багато людей їдуть на узбережжя у відпустку.,Багато людей їдуть на узбережжя у відпустку.,Багато людей їдуть на узбережжя у відпустку.
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Masturbating in front of your siblings.,-2.0,tolerated,0,Мастурбувати на очах у братів і сестер.,Мастурбувати на очах у братів і сестер.,Мастурбувати на очах у братів і сестер.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's ok,Moving back home in order to escape a bad living situation.,0.0,legal,1,"Повернення додому, щоб уникнути поганої життєвої ситуації.","Повернення додому, щоб уникнути поганої життєвої ситуації.","Повернення додому, щоб уникнути поганої життєвої ситуації."
rocstories,4.0,advice,care-harm,Plants may die.,Neglecting  your vegetable garden.,-1.0,legal,0,Нехтування своїм городом.,Нехтування своїм городом.,Нехтування своїм городом.
rocstories,4.0,social-norms|advice,care-harm,It's bad.,Neglecting your vehicle's maintenance.,-1.0,tolerated,0,Нехтування технічним обслуговуванням автомобіля.,Нехтування технічним обслуговуванням автомобіля.,Нехтування технічним обслуговуванням автомобіля.
