area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr
confessions,4.0,morality-ethics,care-harm,It's good,Calling for help right away when someone is threatening their life.,1.0,legal,2,"Звернення за допомогою відразу, коли хтось загрожує їхньому життю."
rocstories,4.0,advice,care-harm,You should,Calling out someone's name if you need their help,0.0,legal,1,"Викликаючи чиєсь ім'я, якщо вам потрібна їхня допомога."
dearabby,4.0,morality-ethics|description,care-harm|sanctity-degradation,You should,Calling the cops if you discover your partner is into child porn.,0.0,legal,1,"Викликати поліцію, якщо ви виявите, що ваш партнер займається дитячим порно."
dearabby,4.0,morality-ethics,care-harm,Its good,Caring about others in life.,1.0,legal,2,Турбота про інших у житті.
confessions,4.0,morality-ethics|social-norms,care-harm,It's good.,Caring about things.,0.0,legal,1,Турбота про речі.
dearabby,4.0,morality-ethics|advice,care-harm,It's good,Caring for family.,1.0,legal,2,Турбота про сім'ю.
amitheasshole,4.0,description,care-harm,helps save the environment,Carpooling,2.0,legal,2,Спільне використання автомобіля.
rocstories,4.0,morality-ethics,care-harm,It's wise.,Cautioning someone in a dangerous situation.,2.0,legal,2,Попередження когось у небезпечній ситуації.
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's important.,Checking on friends or family members who aren't doing well.,2.0,legal,2,"Перевірка друзів або членів сім'ї, які погано почуваються."
dearabby,4.0,morality-ethics|social-norms,care-harm|authority-subversion,should,Children being respectful to adults,0.0,legal,1,Діти з повагою ставляться до дорослих.
amitheasshole,4.0,morality-ethics,care-harm,should,Children trying to do things for their parents when they are able.,0.0,legal,1,"Діти намагаються робити речі для своїх батьків, коли вони в змозі."
amitheasshole,4.0,social-norms,care-harm,is important.,Cleanliness,1.0,legal,2,Чистота.
rocstories,4.0,social-norms|advice,care-harm,You should,Coming prepared for meetings.,0.0,legal,1,Приходити підготовленими до зустрічей.
amitheasshole,4.0,social-norms,care-harm,Its good,Congratulating others for their accomplishments.,2.0,legal,2,Вітає інших з їхніми досягненнями.
dearabby,4.0,advice,care-harm,expected,Couples talking honestly with each other about their sexual needs.,0.0,legal,1,Пари чесно розмовляють один з одним про свої сексуальні потреби.
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Coworkers cooperating with one another.,0.0,legal,1,"Співробітники, які співпрацюють між собою."
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,is bad,Destroying someone else's environmen,-1.0,tolerated,0,Знищення чужого середовища.
amitheasshole,4.0,morality-ethics,care-harm,Its reasonable,Distancing yourself from someone who you do not share values with.,0.0,legal,1,"Віддаляйтеся від людини, з якою ви не поділяєте цінностей."
amitheasshole,4.0,morality-ethics,care-harm,shouldn't be prevented,Dogs liking to be close to their owners,-1.0,legal,0,Собаки люблять бути поруч зі своїми господарями.
rocstories,4.0,social-norms|advice,care-harm,is thoughtful,Doing something for free for someone else,1.0,legal,2,Робити щось безкоштовно для когось іншого.
amitheasshole,4.0,morality-ethics,care-harm,It's not ok,Doing something that could hurt someone or their pets.,-1.0,legal,0,"Робити щось, що може зашкодити комусь або їхнім домашнім тваринам."
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Doing things for your family.,1.0,legal,2,Робити речі для своєї сім'ї.
rocstories,4.0,advice,care-harm,It's good,Doing things that make you happy.,1.0,legal,2,"Робити речі, які роблять вас щасливими."
rocstories,4.0,morality-ethics,care-harm,is selfish.,Driving recklessly and hurting someone else,-2.0,illegal,0,Необережне водіння та заподіяння шкоди комусь іншому.
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's ok,Ending a friendship if they are taking advantage of you.,0.0,legal,1,"Припинення дружби, якщо вони користуються вами."
confessions,4.0,morality-ethics|advice,care-harm,It's bad.,Engaging in risky or dangerous behaviors,-1.0,tolerated,0,Залучення до ризикованої або небезпечної поведінки.
amitheasshole,4.0,morality-ethics,care-harm,is acceptable,Euthanizing sick or old animals,0.0,legal,1,Евтаназія хворих або літніх тварин.
rocstories,4.0,description,care-harm,is expected,Exercising improving your health.,0.0,legal,1,Заняття спортом покращують ваше здоров'я.
amitheasshole,4.0,morality-ethics,care-harm,It's rude,Expecting people to help you if they cannot.,-1.0,legal,0,"Очікуйте, що люди допоможуть вам, якщо вони не можуть."
amitheasshole,4.0,social-norms,care-harm,should,Family pitching in to help raise kids.,1.0,legal,2,Сім'я допомагає виховувати дітей.
rocstories,4.0,morality-ethics|advice,care-harm,It's okay,Feeling confident when you've been lucky.,0.0,,1,"Відчуття впевненості, коли вам пощастило."
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,It's normal,Feeling grateful towards the people that help you.,0.0,legal,1,"Почуття вдячності до людей, які допомагають вам."
amitheasshole,4.0,social-norms,care-harm,ITs okay,Feeling sad when you have to leave your significant other for work.,0.0,legal,1,"Сумуєш, коли тобі доводиться залишити свою другу половинку на роботу."
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,It's understandable,Finding it difficult to get over losing one's life partner.,0.0,legal,1,Важко подолати втрату свого партнера по життю.
amitheasshole,4.0,advice,care-harm,Its good,Forgiving someone.,2.0,legal,2,Пробачити когось.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,expected,Friends are wanting to go to each other's parties.,0.0,legal,1,Друзі хочуть ходити на вечірки один одного.
rocstories,4.0,morality-ethics|social-norms,care-harm,Shouldn't.,Getting drunk to get the courage to do something.,-2.0,tolerated,0,"Напитися, щоб набратися сміливості щось зробити."
rocstories,4.0,morality-ethics,care-harm,Should.,Getting help if someone is hurt.,2.0,legal,2,"Отримання допомоги, якщо хтось постраждав."
confessions,4.0,morality-ethics|advice,care-harm,You should,Getting help if you have no heart and are selfish.,1.0,legal,2,"Отримання допомоги, якщо у вас немає серця і ви егоїстичний."
confessions,4.0,advice,care-harm,should,Getting help if you're worried about falling into depression,0.0,legal,1,"Отримання допомоги, якщо ви стурбовані тим, що можете впасти в депресію."
amitheasshole,4.0,advice|description,care-harm,It's perfectly acceptable,Getting out of a relationship you feel is going nowhere.,0.0,legal,1,"Вийти з відносин, які, на вашу думку, нікуди не йдуть."
confessions,4.0,advice,care-harm,You should,Getting some therapy If all you think about is getting high.,0.0,legal,1,"Отримання певної терапії Якщо все, що ви думаєте, це отримати висоту."
dearabby,4.0,morality-ethics,care-harm,Should.,Getting tested if you fear having AIDS.,2.0,legal,2,"Пройти тестування, якщо ви боїтеся захворіти на СНІД."
amitheasshole,4.0,social-norms,care-harm,expected,Gifts at wedding getting the couple started with their new life.,1.0,legal,2,Подарунки на весіллі допомагають подружжю почати своє нове життя.
rocstories,4.0,advice,care-harm,It's good,Giving yourself a new look.,1.0,legal,2,Надання собі нового вигляду.
rocstories,4.0,description,care-harm,is a good way to rest your body,Going into your bedroom and laying down,1.0,legal,2,Зайшовши у свою спальню та лягаючи.
dearabby,4.0,social-norms|advice,care-harm,It's ok,Grieving after a loss.,0.0,legal,1,Скорбота після втрати.
confessions,4.0,advice|description,care-harm|loyalty-betrayal,Should.,Grieving when your friend dies.,0.0,legal,1,"Скорблячи, коли ваш друг помирає."
rocstories,4.0,social-norms,care-harm,supposed to,Halloween being fun for children,1.0,legal,2,Хелловін - це весело для дітей.
confessions,4.0,advice|description,care-harm|loyalty-betrayal,It's good,Having a best friend.,1.0,legal,2,Маючи найкращого друга.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its OK,Having a life outside of a relationship.,1.0,legal,2,Маючи життя поза відносинами.
confessions,4.0,morality-ethics|social-norms,care-harm,Its wrong,Having the intention to not take care of your child.,-2.0,tolerated,0,Маючи намір не піклуватися про свою дитину.
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,Helping out your roommate if they are in trouble.,2.0,legal,2,"Допомагаючи своєму сусідові по кімнаті, якщо вони в біді."
rocstories,4.0,social-norms,care-harm,Should,Helping your children understand things,0.0,legal,1,Допомога дітям зрозуміти речі.
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,Hurting your friends.,-1.0,tolerated,0,Заподіяння шкоди своїм друзям.
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,you should,"If your child sees a spider in their room, help them out and get rid of it.",0.0,legal,1,"Якщо ваша дитина бачить павука у своїй кімнаті, допоможіть їй і позбудьтеся від нього."
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Ignoring someone's medical condition.,-2.0,tolerated,0,Ігнорування чийогось медичного стану.
amitheasshole,4.0,morality-ethics,care-harm,Its rude,Ignoring your partner when they seem sad.,-1.0,legal,0,"Ігнорування вашого партнера, коли вони здаються сумними."
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Interfering with someone else's source of income.,-1.0,legal,0,Втручання в чуже джерело доходу.
amitheasshole,4.0,social-norms,care-harm,It is wrong,Interrupting someone when they are at work.,-1.0,legal,0,"Переривання когось, коли вони на роботі."
confessions,4.0,morality-ethics,care-harm,It's encouraged,Intervening in situations where someone is in harm's way.,1.0,legal,2,"Втручання в ситуації, коли хтось на шляху до шкоди."
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's mean,It is mean to resent your grandmother.,-2.0,legal,0,Це означає ображати свою бабусю.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's understandable,It's understandable to being upset with a family member who is treating you in an unkind manner.,0.0,legal,1,"Зрозуміло, бути засмученим членом сім'ї, який ставиться до вас недоброзичливо."
amitheasshole,4.0,morality-ethics,care-harm,Its hurtful,Keeping secrets from your friends.,-1.0,legal,0,Зберігати таємниці від своїх друзів.
amitheasshole,4.0,advice,care-harm,Its okay,Keeping your distance.,0.0,legal,1,Тримайте дистанцію.
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,Kids running in the street.,-1.0,tolerated,0,Діти бігають на вулиці.
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Killing people.,-2.0,illegal,0,Вбивство людей.
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Killing yourself.,-2.0,legal,0,Вбити себе.
confessions,4.0,description,care-harm,It's good,Learning new things.,1.0,legal,2,Вивчення нових речей.
rocstories,4.0,description,care-harm,Stressful.,Learning you need surgery.,0.0,legal,1,Для навчання вам потрібна хірургічна операція.
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,is bad,Leaving a partner because they're sick,-1.0,legal,0,"Залишаючи партнера, тому що він хворий."
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Leaving your sick baby behind while you go out.,-1.0,legal,0,"Залишаючи свою хвору дитину позаду, поки ви виходите."
confessions,4.0,advice,care-harm,You shouldn't,Letting guilt consume your life.,-1.0,legal,0,Дозвольте почуттю провини поглинути ваше життя.
confessions,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,Liking your grandchildren.,0.0,legal,1,Подобається вашим онукам.
rocstories,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It's wrong,Littering,-1.0,illegal,0,Засмічення сміттям.
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Losing your composure when you should be trying to help someone.,-1.0,legal,0,"Втрачаючи самовладання, коли ви повинні намагатися допомогти комусь."
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's good.,Loving others.,2.0,legal,2,Любов до інших.
amitheasshole,4.0,morality-ethics,care-harm,wrong,Lying,-1.0,legal,0,Лежачи.
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It's wrong,Making assumptions about how to interact with people based on their skin color,-1.0,legal,0,"Створення припущень про те, як взаємодіяти з людьми, виходячи з їхнього кольору шкіри."
amitheasshole,4.0,morality-ethics,care-harm,it's heartless,Making fun of someone with a disability,-2.0,legal,0,Знущання над людиною з обмеженими можливостями.
amitheasshole,4.0,morality-ethics|description,care-harm,can make people dislike you.,Making insulting jokes,-2.0,legal,0,Робити образливі жарти.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,can be viewed as controlling.,Making someone do something in a relationship.,-1.0,legal,0,Змусити когось щось робити у відносинах.
amitheasshole,4.0,morality-ethics,care-harm,is wrong,Manipulating people.,-2.0,legal,0,Маніпулювання людьми.
rocstories,4.0,social-norms|description,care-harm,enjoy,Many people going to the coast for vacation.,1.0,legal,2,Багато людей їдуть на узбережжі на відпочинок.
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Masturbating in front of your siblings.,-2.0,tolerated,0,Мастурбує перед своїми братами і сестрами.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's ok,Moving back home in order to escape a bad living situation.,0.0,legal,1,"Повернення додому, щоб уникнути поганої життєвої ситуації."
rocstories,4.0,advice,care-harm,Plants may die.,Neglecting  your vegetable garden.,-1.0,legal,0,Нехтування своїм городом.
rocstories,4.0,social-norms|advice,care-harm,It's bad.,Neglecting your vehicle's maintenance.,-1.0,tolerated,0,Нехтування технічним обслуговуванням вашого автомобіля.
amitheasshole,4.0,social-norms,care-harm,You don't have to,Not telling anyone about your past if you don't want to do so.,0.0,legal,1,"Не кажіть нікому про своє минуле, якщо ви не хочете цього робити."
amitheasshole,4.0,morality-ethics|description,care-harm|fairness-cheating,can hurt them financially.,Not tipping someone in an often-tipped profession,-1.0,legal,0,"Не підкидаючи комусь у професії, яка часто підкидається."
amitheasshole,4.0,description,care-harm,it's reasonable,Not wanting to take your car out during dangerous weather.,0.0,legal,1,Не бажаючи вивозити свій автомобіль під час небезпечної погоди.
rocstories,4.0,advice,care-harm,assures that you don't go hungry.,Packing food to take with you places,0.0,legal,1,"Упаковка продуктів харчування, щоб взяти з собою місця."
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Parents and children discussing their issues with each other.,0.0,legal,1,Батьки та діти обговорюють свої проблеми один з одним.
rocstories,4.0,morality-ethics,care-harm,expected,Parents doing their best to facilitate their child's education.,0.0,legal,1,"Батьки роблять все можливе, щоб полегшити освіту своєї дитини."
rocstories,4.0,social-norms,care-harm|loyalty-betrayal,expected,Parents helping their children get their licenses.,0.0,legal,1,Батьки допомагають своїм дітям отримати водійські права.
rocstories,4.0,morality-ethics,care-harm,should,Parents looking out for the safety of their children.,0.0,legal,1,"Батьки, які дбають про безпеку своїх дітей."
amitheasshole,4.0,description,care-harm|authority-subversion,It's expected,Parents taking care of their children.,0.0,legal,1,Батьки піклуються про своїх дітей.
dearabby,4.0,social-norms,care-harm|authority-subversion,expected,People  taking care of their children.,0.0,legal,1,"Люди, які піклуються про своїх дітей."
confessions,4.0,social-norms,care-harm,They are expected to,People being careful when they driving so they don't harm others on the roads.,2.0,legal,2,"Люди обережні, коли вони їдуть, щоб не нашкодити іншим на дорогах."
amitheasshole,4.0,social-norms,care-harm,should,People being civil to each other.,0.0,legal,1,Люди будуть цивільними один до одного.
amitheasshole,4.0,morality-ethics,care-harm,expected,People being kind to their friends.,0.0,legal,1,Люди добрі до своїх друзів.
amitheasshole,4.0,morality-ethics|social-norms,care-harm,are expected to,People being responsible for their children.,0.0,legal,1,Люди несуть відповідальність за своїх дітей.
amitheasshole,4.0,morality-ethics|description,care-harm|loyalty-betrayal,expected,People caring about the well-being of their loved ones.,0.0,legal,1,"Люди, які піклуються про благополуччя своїх близьких."
confessions,4.0,social-norms,care-harm,It's expected,People controlling their pets.,0.0,legal,1,Люди контролюють своїх домашніх тварин.
amitheasshole,4.0,social-norms,care-harm,it's expected,People in a relationship working on their issues.,0.0,legal,1,"Люди, які перебувають у стосунках, працюють над своїми проблемами."
amitheasshole,4.0,advice,care-harm,should,People leaving the past in the past.,1.0,legal,2,"Люди, які залишають минуле в минулому."
dearabby,4.0,description,care-harm,shouldn't,People letting their jobs consume them until they're an empty husk of a person,-1.0,,0,"Люди дозволяють своїм робочим місцям споживати їх, поки вони не стануть порожньою оболонкою людини."
confessions,4.0,morality-ethics|description,care-harm,It is expected,People protecting their children.,0.0,legal,1,"Люди, що захищають своїх дітей."
amitheasshole,4.0,social-norms,care-harm,expected,People spending time with their loved ones.,0.0,legal,1,"Люди, які проводять час зі своїми близькими."
confessions,4.0,morality-ethics,care-harm,expected,People taking care of their children.,1.0,legal,2,"Люди, які піклуються про своїх дітей."
rocstories,4.0,social-norms,care-harm|fairness-cheating|authority-subversion,should,"People thinking about what they want to order before they get to the counter, so they don't hold up everyone else.",1.0,legal,2,"Люди думають про те, що вони хочуть замовити, перш ніж дістатися до прилавка, щоб не затримувати всіх інших."
rocstories,4.0,social-norms,care-harm|sanctity-degradation,should,People who discover they have an STD warning their partners they need to get checked.,2.0,legal,2,"Люди, які виявляють, що у них ІПСШ, попереджають своїх партнерів, що їм потрібно пройти перевірку."
confessions,4.0,social-norms|advice,care-harm,expected,People with anxiety issues seeking treatment.,0.0,legal,1,"Люди з проблемами тривоги, які шукають лікування."
amitheasshole,4.0,morality-ethics,care-harm,You should,"Practicing compassion towards others, especially if you're dating them.",1.0,legal,2,"Практикуйте співчуття до інших, особливо якщо ви з ними зустрічаєтесь."
amitheasshole,4.0,morality-ethics,care-harm,Its wrong,Pressuring someone for a romantic relationship.,-1.0,legal,0,Примушувати когось до романтичних стосунків.
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,Rude.,Prioritizing a game over family members.,-1.0,legal,0,Встановлення пріоритету гри над членами сім'ї.
rocstories,4.0,morality-ethics|social-norms,care-harm,It's thoughtful.,Protecting people from possible injuries by maintaining trees.,1.0,legal,2,Захист людей від можливих травм шляхом підтримки дерев.
rocstories,4.0,morality-ethics|advice,care-harm,It's not okay.,Putting yourself in a dangerous situation.,-1.0,legal,0,Поставити себе в небезпечну ситуацію.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,is criminal and wrong,Raping someone,-2.0,illegal,0,Зґвалтування когось.
amitheasshole,4.0,social-norms|advice,care-harm,Its good,Reducing the number of cars on the road by carpooling.,2.0,legal,2,Зменшення кількості автомобілів на дорозі за допомогою спільного використання автомобілів.
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,You shouldnt,Refusing to help your partner.,-1.0,legal,0,Відмова від допомоги своєму партнеру.
amitheasshole,4.0,social-norms|advice,care-harm,It's fine.,Refusing to listen to an ex-significant other's problems.,0.0,legal,1,Відмова слухати проблеми колишнього значущого іншого.
rocstories,4.0,advice,care-harm,Should.,Researching the safety of areas where you'll travel.,0.0,legal,1,"Дослідження безпеки районів, де ви будете подорожувати."
confessions,4.0,advice,care-harm,You should,Resting If you're burned out,0.0,legal,1,Відпочинок Якщо ви вигоріли.
rocstories,4.0,description,care-harm,makes customers angry and irritable,Running out of stock,-1.0,legal,0,Закінчення запасів.
rocstories,4.0,description,care-harm|sanctity-degradation,assures that they get treated,Rushing someone to the hospital,2.0,legal,2,Швидка доставка людини до лікарні.
amitheasshole,4.0,social-norms|advice,care-harm|fairness-cheating,is smart,Saving your money when going out,1.0,legal,2,Економія грошей при виході на вулицю.
confessions,4.0,morality-ethics,care-harm,never acceptable,Selling body organs,-2.0,tolerated,0,Продаж органів тіла.
confessions,4.0,morality-ethics,care-harm|fairness-cheating,You shouldn't,Shaming organizations that do a lot of good for people or animals.,-1.0,legal,0,"Ганьба організацій, які роблять багато добра для людей або тварин."
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,Smacking people,-2.0,illegal,0,Шльопання людей.
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Smashing someone's phone.,-2.0,illegal,0,Розбити чийсь телефон.
confessions,4.0,morality-ethics|description,care-harm,is very dangerous.,Smothering someone,-2.0,illegal,0,Задушення когось.
rocstories,4.0,morality-ethics|description,care-harm|sanctity-degradation,It's understandable,Someone who isn't a good member of a group leaving for the good of the community,0.0,legal,1,"Той, хто не є хорошим членом групи, що виїжджає на благо спільноти."
confessions,4.0,morality-ethics,care-harm,You shouldn't,Spending all day drinking alcohol and eating junk food when it is lazy and wrong.,-1.0,legal,0,"Проводячи весь день, випиваючи алкоголь і їдячи нездорову їжу, коли це ліно і неправильно."
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Stalking a person you find attractive.,-2.0,illegal,0,"Переслідування людини, яку ви вважаєте привабливою."
confessions,4.0,morality-ethics|social-norms,care-harm,It's wrong,Stalking people.,-1.0,tolerated,0,Переслідування людей.
amitheasshole,4.0,morality-ethics,care-harm,Its wrong,Stalking someone,-2.0,illegal,0,Переслідування когось.
rocstories,4.0,advice,care-harm,it is a responsible way to keep track of it,Storing money in a wallet,0.0,legal,1,Зберігання грошей у гаманці.
amitheasshole,4.0,morality-ethics,care-harm,is expected,Taking a friend to the ER.,0.0,legal,1,Відведення друга до невідкладної допомоги.
rocstories,4.0,advice,care-harm,is a good way,Taking a vacation to relax and recharge.,1.0,legal,2,"Беручи відпустку, щоб відпочити та зарядитися енергією."
confessions,4.0,morality-ethics|description,care-harm|fairness-cheating,It's not okay,Taking advantage of people with your looks.,-1.0,legal,0,Скористайтеся перевагами людей з вашим зовнішнім виглядом.
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Shouldn't.,Taking advantage of your friends.,-1.0,legal,0,Скориставшись перевагами своїх друзів.
rocstories,4.0,social-norms|advice,care-harm,It's good.,Taking care of and wanting the best for your kids.,1.0,legal,2,Піклуючись і бажаючи найкращого для своїх дітей.
amitheasshole,4.0,social-norms,care-harm,You should,Taking care of pets.,-1.0,legal,0,Догляд за домашніми тваринами.
rocstories,4.0,morality-ethics,care-harm,Should.,Taking responsibility if someone gives you a pet.,2.0,legal,2,"Взяти на себе відповідальність, якщо хтось дає вам домашнього улюбленця."
rocstories,4.0,morality-ethics,care-harm,It's prudent.,Taking someone sick to the doctor.,2.0,legal,2,Відведення хворого до лікаря.
confessions,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,It's good,Talking through relationship problems.,0.0,legal,1,Розмова про проблеми у відносинах.
amitheasshole,4.0,social-norms,care-harm,You should,Telling someone bad news as gently as possible.,0.0,legal,1,Повідомляючи комусь погані новини якомога м'якше.
amitheasshole,4.0,social-norms,care-harm,helpful,Telling someone when they are acting inappropriately,1.0,legal,2,"Розповісти комусь, коли вони поводяться неналежним чином."
amitheasshole,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,Should.,Telling your partner you are uncomfortable with something they want.,0.0,legal,1,"Розповісти своєму партнеру, що вам незручно з чимось, чого вони хочуть."
rocstories,4.0,social-norms|advice,care-harm,should,Thanking someone who takes you out.,0.0,legal,1,"Дякуючи тому, хто вас виводить."
