area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label
amitheasshole,4.0,morality-ethics|social-norms,care-harm,You should,Being considerate of your neighbors,2.0,legal,2
amitheasshole,4.0,advice,care-harm,Is not good,Being dishonest about wanting to be alone,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,Its good,Being empathetic in hard times.,2.0,legal,2
amitheasshole,3.0,social-norms,care-harm|fairness-cheating,It's good,Being generous.,1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm,You shouldn't,Being greedy with your family.,-1.0,tolerated,0
amitheasshole,4.0,advice,care-harm,its OK,Being honest when you don't like something.,1.0,legal,2
dearabby,3.0,social-norms|advice,care-harm|fairness-cheating,It's okay.,Being honest with someone overstaying their welcome.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,It's good,Being honest with your friends.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,is expected,Being honest with your girlfriend about past hookups and relationships.,0.0,legal,1
amitheasshole,3.0,morality-ethics|description,care-harm,is expected,"Being in an adult relationship, which causes accepting another person's differences",0.0,legal,1
rocstories,3.0,morality-ethics,care-harm,It's not okay.,Being involved with people you can't spend time with or trust.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Should.,Being loyal to your friends.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,not nice,Being mad at a significant other over small things,-1.0,legal,0
dearabby,3.0,advice,care-harm,Its kind,Being polite when leaving a therapist when they are not helping you.,1.0,legal,2
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Being polite.,1.0,legal,2
rocstories,3.0,advice,care-harm,It's okay.,Being romantic during a particular song.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Being rude to a person that is just doing their job.,-1.0,legal,0
confessions,3.0,morality-ethics|social-norms,care-harm,You shouldn't,Being scared of the dentist.,-1.0,legal,0
rocstories,3.0,social-norms|advice,care-harm,It's okay.,Being shy when you are new in school.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's good,Being supportive of your significant other when they are depressed.,2.0,legal,2
dearabby,4.0,morality-ethics,care-harm,Should,Being there for a family member or friend that is terminally ill.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,You shouldn't,Being too rough with girls.,-1.0,tolerated,0
dearabby,4.0,morality-ethics,care-harm|loyalty-betrayal,It's reasonable.,Being upset if partner is not letting other partner have friends.,0.0,legal,1
amitheasshole,3.0,social-norms|advice,care-harm,is rude,Blowing people off,-1.0,legal,0
rocstories,3.0,morality-ethics|social-norms,care-harm,It's not ok,Bothering others who don't need or want it.,-1.0,legal,0
dearabby,3.0,social-norms,care-harm|loyalty-betrayal,expected,Boyfriends showing support to their girlfriends when they are having a rough time.,0.0,legal,1
amitheasshole,3.0,morality-ethics|advice,care-harm|loyalty-betrayal,is expected.,Breaking up with someone in a way that minimizes pain,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You shouldn't,Bringing out an underage drinker.,-1.0,illegal,0
rocstories,3.0,advice,care-harm,less effective,Brushing your teeth with a worn out toothbrush,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's wrong,Bullying someone because they don't share your interests.,-1.0,tolerated,0
rocstories,4.0,morality-ethics|advice,care-harm,It's kind,Buying things for others.,1.0,legal,2
rocstories,4.0,morality-ethics|description,care-harm,It's okay,Buying things that aren't for your kids.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,its okay,Buying yourself flowers.,1.0,legal,2
rocstories,3.0,morality-ethics|social-norms,care-harm,are expected,CEO's watching over their company.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,is embarrassing,Calling a person out in front of many other people,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's good,Calling for help right away when someone is threatening their life.,1.0,legal,2
rocstories,4.0,advice,care-harm,You should,Calling out someone's name if you need their help,0.0,legal,1
dearabby,4.0,morality-ethics|description,care-harm|sanctity-degradation,You should,Calling the cops if you discover your partner is into child porn.,0.0,legal,1
confessions,3.0,advice,care-harm,You should,Calling the police on someone that stalks you.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,It’s okay,Canceling plans with someone.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,Its good,Caring about others in life.,1.0,legal,2
confessions,4.0,morality-ethics|social-norms,care-harm,It's good.,Caring about things.,0.0,legal,1
dearabby,4.0,morality-ethics|advice,care-harm,It's good,Caring for family.,1.0,legal,2
amitheasshole,4.0,description,care-harm,helps save the environment,Carpooling,2.0,legal,2
rocstories,4.0,morality-ethics,care-harm,It's wise.,Cautioning someone in a dangerous situation.,2.0,legal,2
dearabby,3.0,morality-ethics,care-harm|loyalty-betrayal,Its wrong,Cheating on your spouse,-2.0,tolerated,0
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's important.,Checking on friends or family members who aren't doing well.,2.0,legal,2
dearabby,4.0,morality-ethics|social-norms,care-harm|authority-subversion,should,Children being respectful to adults,0.0,legal,1
rocstories,3.0,social-norms,care-harm,It's expected.,Children not being separated from their parents.,-1.0,tolerated,0
rocstories,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,are expected,Children spending time with their parents.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,should,Children trying to do things for their parents when they are able.,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm|authority-subversion,aren't supposed to,Children using rude language toward a parent.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm,is important.,Cleanliness,1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm,You should,Coming prepared for meetings.,0.0,legal,1
amitheasshole,3.0,advice,care-harm,it's important,Communicating in a relationship.,1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm,You should,Communicating openly with a partner about any issues in the relationship.,0.0,legal,1
rocstories,3.0,social-norms|advice,care-harm,It's nice.,Complimenting people because it makes them feel good.,1.0,legal,2
rocstories,3.0,advice,care-harm|sanctity-degradation,You should,Confessing when you lose someone's property.,1.0,legal,2
confessions,3.0,morality-ethics|advice,care-harm,It's good,Confiding in others about suicidal thoughts you've had.,0.0,legal,1
rocstories,3.0,social-norms|advice,care-harm,It's okay.,Confronting people about their behavior.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,Its good,Congratulating others for their accomplishments.,2.0,legal,2
rocstories,3.0,advice,care-harm,You cant,Controlling who you fall in love with,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,It's acceptable,Correcting people for being rude.,0.0,legal,1
dearabby,4.0,advice,care-harm,expected,Couples talking honestly with each other about their sexual needs.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,expected,Coworkers  enjoying spending time together.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Coworkers cooperating with one another.,0.0,legal,1
amitheasshole,3.0,morality-ethics,care-harm,It's bad,Creating a hostile work environment for your coworkers.,-1.0,tolerated,0
amitheasshole,3.0,morality-ethics|social-norms,care-harm,is impolite,Cursing at another person,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,expected,Defending someone that is being bullied,0.0,legal,1
rocstories,3.0,morality-ethics|social-norms,care-harm,it's heartless,Denying someone money they need to live,-2.0,legal,0
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,is bad,Destroying someone else's environmen,-1.0,tolerated,0
amitheasshole,3.0,social-norms|advice,care-harm,It's nice.,Disliking someones gift and not letting them know.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,Its reasonable,Distancing yourself from someone who you do not share values with.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,shouldn't be prevented,Dogs liking to be close to their owners,-1.0,legal,0
rocstories,3.0,social-norms,care-harm,important,Doing laundry,1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm,is thoughtful,Doing something for free for someone else,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,It's not ok,Doing something that could hurt someone or their pets.,-1.0,legal,0
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Doing things for your family.,1.0,legal,2
rocstories,4.0,advice,care-harm,It's good,Doing things that make you happy.,1.0,legal,2
confessions,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's not okay.,Doing things that worry your children.,-1.0,legal,0
confessions,3.0,social-norms,care-harm|sanctity-degradation,It's weird.,Dreaming about having a job killing people.,-1.0,legal,0
rocstories,3.0,social-norms,care-harm,You should,Drinking tea with lemon when you have a sore throat.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,is selfish.,Driving recklessly and hurting someone else,-2.0,illegal,0
rocstories,3.0,advice,care-harm,Is bad for your health,Eating candy.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's ok,Ending a friendship if they are taking advantage of you.,0.0,legal,1
amitheasshole,3.0,morality-ethics|advice,care-harm,You should not,Endorsing eating unhealthy foods.,-1.0,legal,0
confessions,3.0,social-norms|advice,care-harm,You should,Engaging in a social activity when you feel lonely.,0.0,legal,1
confessions,4.0,morality-ethics|advice,care-harm,It's bad.,Engaging in risky or dangerous behaviors,-1.0,tolerated,0
confessions,3.0,morality-ethics,care-harm,It's wrong,Enjoying someone else's suffering.,-2.0,legal,0
rocstories,3.0,social-norms,care-harm,Its expected,Enjoying taking a trip with your partner,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,is acceptable,Euthanizing sick or old animals,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm,is hurtful,Excluding people,-1.0,tolerated,0
rocstories,4.0,description,care-harm,is expected,Exercising improving your health.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,It's rude,Expecting people to help you if they cannot.,-1.0,legal,0
rocstories,3.0,social-norms,care-harm,it's selfish,Expecting someone to make room for your things in their home,-1.0,legal,0
confessions,3.0,advice,care-harm|loyalty-betrayal,You cant,Expecting your family to want anything to do with you if you're abusive or rude.,-1.0,legal,0
amitheasshole,3.0,social-norms|advice,care-harm|loyalty-betrayal,It is expected,Family discussing their problems rather than get mad.,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,are expected,Family members attending each other's life events.,1.0,legal,2
amitheasshole,3.0,social-norms|advice,care-harm|loyalty-betrayal,expected,Family members wanting to spend time with each other.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,should,Family pitching in to help raise kids.,1.0,legal,2
rocstories,4.0,morality-ethics|advice,care-harm,It's okay,Feeling confident when you've been lucky.,0.0,,1
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,It's normal,Feeling grateful towards the people that help you.,0.0,legal,1
confessions,3.0,description,care-harm,It's good,Feeling happy and confident with your looks.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,ITs okay,Feeling sad when you have to leave your significant other for work.,0.0,legal,1
dearabby,3.0,advice,care-harm,You shouldnt,Feeling you have to go along with what the crowd is doing if you don't want to.,0.0,legal,1
rocstories,3.0,social-norms,care-harm,It's normal,Felling proud when you do a good job at something.,0.0,legal,1
amitheasshole,3.0,advice,care-harm,Its good,Fighting for what you believe in.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,It's understandable,Finding it difficult to get over losing one's life partner.,0.0,legal,1
rocstories,3.0,morality-ethics|advice,care-harm,It's good,Flirting with someone you like.,1.0,legal,2
amitheasshole,4.0,advice,care-harm,Its good,Forgiving someone.,2.0,legal,2
dearabby,3.0,morality-ethics,care-harm,should,Friends accepting each others' differences.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,expected,Friends are wanting to go to each other's parties.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,expected,Friends being honest with each other.,1.0,legal,2
rocstories,3.0,social-norms|advice,care-harm|fairness-cheating,it's expected,Friends doing things together.,1.0,legal,2
rocstories,3.0,social-norms,care-harm,expected,Friends giving each other advice,0.0,legal,1
dearabby,3.0,social-norms|advice,care-harm|loyalty-betrayal,should,Friends remaining loyal to one another,1.0,legal,2
rocstories,3.0,description,care-harm,It's pressing.,Gaining weight.,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's expected.,Getting along with others.,1.0,legal,2
amitheasshole,3.0,social-norms,care-harm,frowned upon.,Getting drunk,-1.0,legal,0
rocstories,4.0,morality-ethics|social-norms,care-harm,Shouldn't.,Getting drunk to get the courage to do something.,-2.0,tolerated,0
rocstories,4.0,morality-ethics,care-harm,Should.,Getting help if someone is hurt.,2.0,legal,2
confessions,4.0,morality-ethics|advice,care-harm,You should,Getting help if you have no heart and are selfish.,1.0,legal,2
confessions,4.0,advice,care-harm,should,Getting help if you're worried about falling into depression,0.0,legal,1
confessions,3.0,morality-ethics,care-harm,You shouldn't,Getting into physical altercations.,-1.0,legal,0
confessions,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's bad,Getting involved with someone else if you're not over your ex.,-1.0,legal,0
amitheasshole,4.0,advice|description,care-harm,It's perfectly acceptable,Getting out of a relationship you feel is going nowhere.,0.0,legal,1
dearabby,3.0,social-norms|advice,care-harm,Should.,Getting professional help when haunted by guilt.,0.0,legal,1
rocstories,3.0,morality-ethics,care-harm,is selfish.,Getting rid of a dog when it is too much work to take care of,-1.0,legal,0
confessions,4.0,advice,care-harm,You should,Getting some therapy If all you think about is getting high.,0.0,legal,1
confessions,3.0,advice,care-harm,You should,Getting some therapy if you hate yourself.,0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm|authority-subversion,It's ok,Getting someone's attention.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,Should.,Getting tested if you fear having AIDS.,2.0,legal,2
amitheasshole,4.0,social-norms,care-harm,expected,Gifts at wedding getting the couple started with their new life.,1.0,legal,2
confessions,3.0,advice,care-harm,It's frowned upon.,Giving online trolls the attention they seek.,-1.0,legal,0
rocstories,4.0,advice,care-harm,It's good,Giving yourself a new look.,1.0,legal,2
rocstories,3.0,advice,care-harm|sanctity-degradation,foolish,Going back to work after a tooth extraction,-1.0,legal,0
rocstories,4.0,description,care-harm,is a good way to rest your body,Going into your bedroom and laying down,1.0,legal,2
confessions,3.0,advice,care-harm,It is expected,Good friends making you a better person.,0.0,legal,1
dearabby,4.0,social-norms|advice,care-harm,It's ok,Grieving after a loss.,0.0,legal,1
confessions,4.0,advice|description,care-harm|loyalty-betrayal,Should.,Grieving when your friend dies.,0.0,legal,1
rocstories,4.0,social-norms,care-harm,supposed to,Halloween being fun for children,1.0,legal,2
rocstories,3.0,social-norms|advice,care-harm,It's rude.,Hanging up the phone on someone.,-1.0,legal,0
confessions,3.0,social-norms|advice,care-harm,It's bad.,Hating others.,-1.0,legal,0
confessions,4.0,advice|description,care-harm|loyalty-betrayal,It's good,Having a best friend.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its OK,Having a life outside of a relationship.,1.0,legal,2
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,Its nice,Having a lover spend the night after sex.,1.0,legal,2
dearabby,3.0,social-norms|advice,care-harm|loyalty-betrayal,It's bad.,Having a relationship that is unhealthy.,-1.0,legal,0
confessions,3.0,morality-ethics|social-norms,care-harm,It's bad.,Having a temper.,-2.0,tolerated,0
dearabby,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,You shouldn't,Having an affair.,-1.0,legal,0
confessions,3.0,advice,care-harm,Its good,Having food that you love.,0.0,legal,1
rocstories,3.0,advice|description,care-harm,it is okay,Having seconds if you're still hungry.,0.0,legal,1
confessions,4.0,morality-ethics|social-norms,care-harm,Its wrong,Having the intention to not take care of your child.,-2.0,tolerated,0
dearabby,3.0,morality-ethics|social-norms,care-harm|sanctity-degradation,it is,Health being more important than looks.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,Helping out your roommate if they are in trouble.,2.0,legal,2
rocstories,4.0,social-norms,care-harm,Should,Helping your children understand things,0.0,legal,1
confessions,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Should.,Helping your significant other with their mental health.,2.0,legal,2
rocstories,3.0,advice,care-harm,smart,Hiding your expensive items from a thief,1.0,legal,2
rocstories,3.0,description,care-harm,is good,Hiking to enjoy nature,1.0,legal,2
confessions,3.0,morality-ethics|advice,care-harm,Its sentimental,Holding onto texts from dead people.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,Hurting your friends.,-1.0,tolerated,0
confessions,3.0,advice,care-harm,should,"If nothing means anything anymore, getting some help.",1.0,legal,2
confessions,3.0,advice,care-harm,you should,"If you are having trouble after a car accident, you getting some help.",1.0,legal,2
amitheasshole,3.0,advice,care-harm,you should,"If you are mad at a friend, letting them know why.",1.0,legal,2
amitheasshole,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,it's expected,"If you can help a friend in any way, helping them since that's what good friends do.",0.0,legal,1
confessions,3.0,advice,care-harm,you should,"If you feel there's something wrong with you, seeking medical help.",0.0,legal,1
confessions,3.0,advice,care-harm,should,"If you feel very disconnected, getting some help.",1.0,legal,2
rocstories,3.0,morality-ethics|advice,care-harm,should,"If you find a tadpole in your pool, removing it and taking it to a pond to release it.",1.0,legal,2
amitheasshole,3.0,morality-ethics,care-harm|loyalty-betrayal,you should,"If you find out you are being used, ending the relationship with that person.",0.0,legal,1
confessions,3.0,morality-ethics,care-harm,should,"If you're mentally ill, getting some help.",1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,you should,"If your child sees a spider in their room, help them out and get rid of it.",0.0,legal,1
amitheasshole,3.0,description,care-harm,it's okay,"If your partner is angry at you, feeling upset",0.0,legal,1
amitheasshole,3.0,morality-ethics|social-norms,care-harm,its insensitive,Ignoring human life over animal life.,-2.0,legal,0
amitheasshole,3.0,social-norms,care-harm,is frowned upon,Ignoring people,-1.0,legal,0
amitheasshole,3.0,morality-ethics|description,care-harm,is selfish.,Ignoring someone who has been hurt,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Ignoring someone's medical condition.,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,Its rude,Ignoring your partner when they seem sad.,-1.0,legal,0
dearabby,3.0,advice,care-harm|fairness-cheating|loyalty-betrayal,damaging to your connection,Ignoring your partners wishes in a relationship,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm|fairness-cheating,It's ok,Indulging and living a little at night.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Interfering with someone else's source of income.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm,It is wrong,Interrupting someone when they are at work.,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's encouraged,Intervening in situations where someone is in harm's way.,1.0,legal,2
rocstories,3.0,morality-ethics,care-harm,Its kind,Introducing someone who is new in town to your friends.,1.0,legal,2
confessions,3.0,morality-ethics,care-harm|loyalty-betrayal,Its bad,Invading other people's privacy,-2.0,tolerated,0
rocstories,3.0,advice,care-harm,expected,Investing being risky,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's mean,It is mean to resent your grandmother.,-2.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's understandable,It's understandable to being upset with a family member who is treating you in an unkind manner.,0.0,legal,1
amitheasshole,3.0,morality-ethics,care-harm,It's wrong,Joking about the church sex scandals,-1.0,legal,0
rocstories,3.0,morality-ethics|social-norms,care-harm|fairness-cheating,is wrong,Judging people by where they are from is xenophobia,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,It's wrong,Judging someone based on their race.,-2.0,legal,0
amitheasshole,3.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's expected,Keeping  people's mental health details in confidence.,0.0,legal,1
amitheasshole,3.0,morality-ethics,care-harm,It's ok,Keeping pregnancy a secret just in case you lose it.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,Its hurtful,Keeping secrets from your friends.,-1.0,legal,0
amitheasshole,4.0,advice,care-harm,Its okay,Keeping your distance.,0.0,legal,1
rocstories,3.0,description,care-harm,it's expected,Kids enjoying playing with their toys.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,Kids running in the street.,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Killing people.,-2.0,illegal,0
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Killing yourself.,-2.0,legal,0
rocstories,3.0,advice,care-harm|authority-subversion,Its good,Knowing where your kids are at all times.,1.0,legal,2
rocstories,3.0,morality-ethics|social-norms,care-harm|fairness-cheating,it's considered rude.,Laughing too hard at someone,-2.0,legal,0
confessions,4.0,description,care-harm,It's good,Learning new things.,1.0,legal,2
dearabby,3.0,social-norms|advice,care-harm|loyalty-betrayal,It's good.,Learning to move on after a loss.,0.0,legal,1
rocstories,4.0,description,care-harm,Stressful.,Learning you need surgery.,0.0,legal,1
dearabby,3.0,morality-ethics,care-harm|loyalty-betrayal,is foolish,Leaving a good relationship,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,is bad,Leaving a partner because they're sick,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,It's ok,Leaving a significant other if they are engaging in dangerous behaviors.,0.0,legal,1
dearabby,3.0,advice,care-harm|sanctity-degradation,Its good,Leaving a sordid life behind and starting new.,1.0,legal,2
rocstories,3.0,description,care-harm,can be nerve-wrecking.,Leaving your baby for the first time,0.0,legal,1
confessions,3.0,morality-ethics,care-harm,You should,Leaving your ex alone on social media.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Leaving your sick baby behind while you go out.,-1.0,legal,0
rocstories,3.0,advice,care-harm,It's okay,Letting fate or chance decide somethings,0.0,legal,1
confessions,4.0,advice,care-harm,You shouldn't,Letting guilt consume your life.,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,Liking your grandchildren.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm|loyalty-betrayal,Partners should,Listening to each other's issues.,2.0,legal,2
rocstories,3.0,advice,care-harm,is a positive thing to do to blow off stress,Listening to music,0.0,legal,1
amitheasshole,3.0,morality-ethics,care-harm,You shouldn't,Listening to people's offensive jokes.,-1.0,legal,0
rocstories,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It's wrong,Littering,-1.0,illegal,0
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Losing your composure when you should be trying to help someone.,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's good.,Loving others.,2.0,legal,2
amitheasshole,3.0,advice,care-harm,should,Loving someone being effortless and simple.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,wrong,Lying,-1.0,legal,0
amitheasshole,3.0,social-norms,care-harm,can make you look selfish.,Making a big deal out of your own birthday,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It's wrong,Making assumptions about how to interact with people based on their skin color,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,is rude and racist.,Making fun of skin color,-2.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,it's heartless,Making fun of someone with a disability,-2.0,legal,0
amitheasshole,4.0,morality-ethics|description,care-harm,can make people dislike you.,Making insulting jokes,-2.0,legal,0
amitheasshole,3.0,morality-ethics|social-norms,care-harm|authority-subversion,not ok,Making sexual comments to a coworker,-1.0,tolerated,0
confessions,3.0,social-norms,care-harm,people will think you're creepy,Making sexual innuendo toward a celebrity online,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,can be viewed as controlling.,Making someone do something in a relationship.,-1.0,legal,0
amitheasshole,3.0,morality-ethics,care-harm,It's expected,Making sure you have someone to replace you before you leave work.,0.0,legal,1
amitheasshole,3.0,social-norms,care-harm,It's rude,Making yourself comfortable if it makes someone else uncomfortable.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,is wrong,Manipulating people.,-2.0,legal,0
rocstories,4.0,social-norms|description,care-harm,enjoy,Many people going to the coast for vacation.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Masturbating in front of your siblings.,-2.0,tolerated,0
rocstories,3.0,social-norms,care-harm,expected,Men smelling nice all the time.,0.0,legal,1
