area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr
confessions,4.0,social-norms|advice,care-harm,expected,People with anxiety issues seeking treatment.,0.0,legal,1,"Люди з проблемами тривожності, які шукають лікування."
amitheasshole,4.0,morality-ethics,care-harm,You should,"Practicing compassion towards others, especially if you're dating them.",1.0,legal,2,"Практикуйте співчуття до інших, особливо якщо ви з ними зустрічаєтеся."
amitheasshole,4.0,morality-ethics,care-harm,Its wrong,Pressuring someone for a romantic relationship.,-1.0,legal,0,Тиск на когось заради романтичних стосунків.
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,Rude.,Prioritizing a game over family members.,-1.0,legal,0,"Надавання пріоритету грі, а не членам родини."
rocstories,4.0,morality-ethics|social-norms,care-harm,It's thoughtful.,Protecting people from possible injuries by maintaining trees.,1.0,legal,2,Захист людей від можливих травм шляхом догляду за деревами.
rocstories,4.0,morality-ethics|advice,care-harm,It's not okay.,Putting yourself in a dangerous situation.,-1.0,legal,0,Наражати себе на небезпеку.
amitheasshole,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,is criminal and wrong,Raping someone,-2.0,illegal,0,Зґвалтування людини
amitheasshole,4.0,social-norms|advice,care-harm,Its good,Reducing the number of cars on the road by carpooling.,2.0,legal,2,Зменшення кількості автомобілів на дорозі шляхом спільного використання транспорту.
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,You shouldnt,Refusing to help your partner.,-1.0,legal,0,Відмова допомагати своєму партнеру.
amitheasshole,4.0,social-norms|advice,care-harm,It's fine.,Refusing to listen to an ex-significant other's problems.,0.0,legal,1,Відмовлятися вислуховувати проблеми колишньої другої половинки.
rocstories,4.0,advice,care-harm,Should.,Researching the safety of areas where you'll travel.,0.0,legal,1,"Дослідження безпеки районів, куди ви подорожуватимете."
confessions,4.0,advice,care-harm,You should,Resting If you're burned out,0.0,legal,1,"Відпочинок, якщо ви виснажені"
rocstories,4.0,description,care-harm,makes customers angry and irritable,Running out of stock,-1.0,legal,0,Вичерпання запасів
rocstories,4.0,description,care-harm|sanctity-degradation,assures that they get treated,Rushing someone to the hospital,2.0,legal,2,Везти когось до лікарні терміново
amitheasshole,4.0,social-norms|advice,care-harm|fairness-cheating,is smart,Saving your money when going out,1.0,legal,2,Економія грошей під час прогулянок
confessions,4.0,morality-ethics,care-harm,never acceptable,Selling body organs,-2.0,tolerated,0,Продаж органів тіла
confessions,4.0,morality-ethics,care-harm|fairness-cheating,You shouldn't,Shaming organizations that do a lot of good for people or animals.,-1.0,legal,0,"Присоромлення організацій, які роблять багато добра для людей або тварин."
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,Smacking people,-2.0,illegal,0,Бити людей
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Smashing someone's phone.,-2.0,illegal,0,Розбиття чийогось телефону.
confessions,4.0,morality-ethics|description,care-harm,is very dangerous.,Smothering someone,-2.0,illegal,0,Задушити когось
rocstories,4.0,morality-ethics|description,care-harm|sanctity-degradation,It's understandable,Someone who isn't a good member of a group leaving for the good of the community,0.0,legal,1,"Той, хто не є хорошим членом групи, іде на благо спільноти"
confessions,4.0,morality-ethics,care-harm,You shouldn't,Spending all day drinking alcohol and eating junk food when it is lazy and wrong.,-1.0,legal,0,"Просиджувати цілий день, п'ючи алкоголь і поїдаючи шкідливу їжу — це лінь і неправильно."
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Stalking a person you find attractive.,-2.0,illegal,0,"Переслідування людини, яку ви вважаєте привабливою."
confessions,4.0,morality-ethics|social-norms,care-harm,It's wrong,Stalking people.,-1.0,tolerated,0,Переслідування людей.
amitheasshole,4.0,morality-ethics,care-harm,Its wrong,Stalking someone,-2.0,illegal,0,Переслідування когось
rocstories,4.0,advice,care-harm,it is a responsible way to keep track of it,Storing money in a wallet,0.0,legal,1,Зберігання грошей у гаманці
amitheasshole,4.0,morality-ethics,care-harm,is expected,Taking a friend to the ER.,0.0,legal,1,Везу друга до приймального відділення.
rocstories,4.0,advice,care-harm,is a good way,Taking a vacation to relax and recharge.,1.0,legal,2,"Відправляємося у відпустку, щоб відпочити та відновити сили."
confessions,4.0,morality-ethics|description,care-harm|fairness-cheating,It's not okay,Taking advantage of people with your looks.,-1.0,legal,0,Використання своєї зовнішності для маніпулювання людьми.
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Shouldn't.,Taking advantage of your friends.,-1.0,legal,0,Використання своїх друзів у власних інтересах.
rocstories,4.0,social-norms|advice,care-harm,It's good.,Taking care of and wanting the best for your kids.,1.0,legal,2,Дбати про дітей і прагнути для них найкращого.
amitheasshole,4.0,social-norms,care-harm,You should,Taking care of pets.,-1.0,legal,0,Догляд за домашніми тваринами.
rocstories,4.0,morality-ethics,care-harm,Should.,Taking responsibility if someone gives you a pet.,2.0,legal,2,"Взяття відповідальності, якщо хтось дарує вам домашню тварину."
rocstories,4.0,morality-ethics,care-harm,It's prudent.,Taking someone sick to the doctor.,2.0,legal,2,Відвезти когось хворого до лікаря.
confessions,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,It's good,Talking through relationship problems.,0.0,legal,1,Обговорення проблем у стосунках.
amitheasshole,4.0,social-norms,care-harm,You should,Telling someone bad news as gently as possible.,0.0,legal,1,Повідомлення комусь поганих новин якомога м'якше.
amitheasshole,4.0,social-norms,care-harm,helpful,Telling someone when they are acting inappropriately,1.0,legal,2,"Як повідомити людині, що вона поводиться неналежно"
amitheasshole,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,Should.,Telling your partner you are uncomfortable with something they want.,0.0,legal,1,"Сказати своєму партнеру, що вам некомфортно з тим, чого вони хочуть."
rocstories,4.0,social-norms|advice,care-harm,should,Thanking someone who takes you out.,0.0,legal,1,"Дякуючи тому, хто запрошує тебе кудись."
dearabby,4.0,morality-ethics,care-harm,It's wrong,Throwing your ex's belongings out the window after a breakup,-2.0,tolerated,0,Викидання речей колишнього(ї) з вікна після розриву стосунків
amitheasshole,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,is important,Trusting in a relationship.,1.0,legal,2,Довіра у стосунках.
