id,dataset_item_id,trace_id,created_at,updated_at,query,expected_output,prediction
cm7xtwg3w06gtad07nzm4fhjw,51f90467-d8d7-489f-bf90-f865d7fa0e67,162ffb11-4e84-46fa-a189-e9a50dc7b0e5,2025-03-06 20:58:13.004000+00:00,2025-03-06 20:58:13.004000+00:00,"водіння, коли ви занадто втомлені, щоб не спати.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwg8p06gxad074nc8dqwg,c44821bd-eb0c-40e0-a8f6-6d5135c5eee9,027d4196-e366-45e7-8a24-cc272c7db1fe,2025-03-06 20:58:13.178000+00:00,2025-03-06 20:58:13.178000+00:00,водіння когось до виборчих дільниць.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwgha06gwad07589zfo82,6dfd5389-23f7-401a-94b2-bc134efc6d86,c47d5056-2dd0-4fd5-b449-618199d6a479,2025-03-06 20:58:13.486000+00:00,2025-03-06 20:58:13.486000+00:00,"безпечне водіння вночі, коли навколо можуть бути люди, яких важко побачити.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwgxd06h0ad0729xndk8a,2fae69ea-16eb-4ccb-8375-b10c7678d02e,cbc205a5-9bf7-4e9e-b94c-a51dc7e6488d,2025-03-06 20:58:14.065000+00:00,2025-03-06 20:58:14.065000+00:00,пити занадто багато.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwgli06h1ad07oy999sak,b21ba9ae-d2ad-4e06-901a-3e316568a3c1,bc74a91a-065c-4c10-b708-862d6d725418,2025-03-06 20:58:13.638000+00:00,2025-03-06 20:58:13.638000+00:00,"безрозсудне водіння, якщо ви не хочете розбитися.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwgt006i9ad07utplz8q9,ef711014-d01b-4dc7-94d5-f33577799236,daa2d918-459f-4da0-9b94-bd5f03aa47bb,2025-03-06 20:58:13.908000+00:00,2025-03-06 20:58:13.908000+00:00,пити занадто багато.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwh5z06idad07bhs02e07,adf7e2a6-864b-4ccd-b2b1-ed6b9a1a2e53,56d89157-0507-4f8c-8b3b-ceadb217f6f2,2025-03-06 20:58:14.375000+00:00,2025-03-06 20:58:14.375000+00:00,"пити те, що ваш батько сказав вам не робити.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwh1p06h5ad070vkf6mq3,68c1b942-cdb9-4d96-8d1a-7e6a3fddfe17,bb922b66-6fa1-484a-a043-9588d8f768d3,2025-03-06 20:58:14.222000+00:00,2025-03-06 20:58:14.222000+00:00,"пити щось, щоб охолонути, коли вам жарко.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwhaa06h4ad07twhl1frn,3e71095d-e211-415b-a524-c9da89678e17,d6ec1b71-cfc0-42c8-b0da-672a1e4c9e1b,2025-03-06 20:58:14.530000+00:00,2025-03-06 20:58:14.530000+00:00,"одягатися так, як вам подобається одягатися.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwhf506h9ad07x1lw0gvz,4b5c7c4e-0563-465c-ac6a-007d83ed8dc5,843ccb3f-5887-4393-9462-21ca617dac29,2025-03-06 20:58:14.705000+00:00,2025-03-06 20:58:14.705000+00:00,"одягатися так, як вам подобається.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwhjt06ihad07j7x4lra6,ca2041a2-3b6e-4340-86df-4bc829deb1a7,b1ff1589-7844-40be-8e4c-ad72c9358a70,2025-03-06 20:58:14.873000+00:00,2025-03-06 20:58:14.873000+00:00,голосування вниз за повідомлення інших людей.,1,0<|END_OF_TURN_TOKEN|>
cm7xtwhxb06ilad07i6k0vspw,f8ad2be6-7b1c-4477-8344-cf969f3a5f7a,f4498765-631a-4347-8fcb-08647a3cab38,2025-03-06 20:58:15.359000+00:00,2025-03-06 20:58:15.359000+00:00,"пожертвувати, коли у вас немає грошей.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwho206h8ad07sufh8gt4,ac503ef5-09c9-482c-b3c1-d734b18a8710,7004a185-c1f6-45de-af06-69166b989229,2025-03-06 20:58:15.027000+00:00,2025-03-06 20:58:15.027000+00:00,Подвійна перевірка речей.,1,2<|END_OF_TURN_TOKEN|>
cm7xtwht006hdad07n8dkjonq,53904933-bd7c-49c2-859a-05dd44786e1c,c6646bd4-f6cb-4001-8781-ad2979126cf0,2025-03-06 20:58:15.204000+00:00,2025-03-06 20:58:15.204000+00:00,Подвійна перевірка речей.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwi1s06hcad0772h55b37,7b25f8b8-4a75-4400-8483-ce56ea250bf0,4bcbd55b-fdda-4bf1-85ec-db6e1c56a33c,2025-03-06 20:58:15.520000+00:00,2025-03-06 20:58:15.520000+00:00,"пожертвувати комусь, хто потребує.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwi6f06hgad07g79ekaf6,d03dac42-5638-41d7-a8bb-ed760390514e,cf6e832d-7f0e-465b-839b-c056631424fe,2025-03-06 20:58:15.687000+00:00,2025-03-06 20:58:15.687000+00:00,"пожертвування речами, які вам більше не потрібні, щоб принести користь іншим.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwijf06hkad0757n5zr8k,1624e282-b987-4b74-88b7-6dde37089f93,7c2fca91-00c4-4c43-8322-1a0d8b989b24,2025-03-06 20:58:16.155000+00:00,2025-03-06 20:58:16.155000+00:00,"робити те, що найкраще для ваших домашніх тварин.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwiar06hhad07je8nz7tt,a2d978b3-68db-4bd3-ad50-13345ab7e62b,deb590a5-1b52-4c48-964f-7155cc385a5c,2025-03-06 20:58:15.844000+00:00,2025-03-06 20:58:15.844000+00:00,донорство крові.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwif006ipad075ze03jfu,3d765627-41f5-4182-a591-34d775e32e15,8b60bfe8-0907-4905-a460-b9190545fded,2025-03-06 20:58:15.996000+00:00,2025-03-06 20:58:15.996000+00:00,"робити все можливе, щоб захистити себе та інших.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwinx06hlad0745ghx3en,e0c436dd-22bc-438a-b7d1-7617745d61c7,0540ad6e-1b35-4b83-a6b6-9d26144fe545,2025-03-06 20:58:16.318000+00:00,2025-03-06 20:58:16.318000+00:00,"робити те, що говорить ваш екскурсовод.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwisi06hpad07k1bfc9x5,285bdb11-9f1f-4b9f-b8e4-ca260e4f31b8,924e59e6-70d8-47c6-bcdc-2c74608c5112,2025-03-06 20:58:16.483000+00:00,2025-03-06 20:58:16.483000+00:00,"робити те, що ти кажеш, що збираєшся робити.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwiy206itad07yf4coltc,9d0fc01b-0473-43a6-a9e3-83073fb2eb93,6244f36e-5e83-4356-a587-8d47891b0fe9,2025-03-06 20:58:16.683000+00:00,2025-03-06 20:58:16.683000+00:00,"робити те, що ви можете, щоб запобігти жорстокому поводженню з тваринами.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwj3l06hoad07lqpl9ab7,c7395a42-44cf-4d3d-9ae0-6caaa297a603,100d30bd-ea27-4d2d-b45f-9e4412726276,2025-03-06 20:58:16.881000+00:00,2025-03-06 20:58:16.881000+00:00,"робити те, що ви можете, щоб не завдати незручностей іншим.",1,2<|END_OF_TURN_TOKEN|>
cm7xtwj7z06htad07ilthorly,05b1f635-a088-480a-b47e-f14d499af7a2,d1d0a6b4-08ff-4cfd-9caa-667882b173dd,2025-03-06 20:58:17.039000+00:00,2025-03-06 20:58:17.039000+00:00,"робити речі, які ви можете пошкодувати.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwjcc06ixad0735qzublz,14bc4a49-9357-4ba8-b2bc-8d103f9f467d,6c16391a-8393-449e-bf2f-de37622d7547,2025-03-06 20:58:17.197000+00:00,2025-03-06 20:58:17.197000+00:00,робити речі зі своїми братами і сестрами.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwjgu06hsad07ogc6708q,27528566-e81c-441b-8ac9-e3df29079f00,16fcd7b2-2308-4c02-88c1-af0a388c023d,2025-03-06 20:58:17.359000+00:00,2025-03-06 20:58:17.359000+00:00,робити речі зі своїми дітьми.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwjl506hxad07oicdl604,abb5b070-0d41-4c3f-8342-12c1dcc889f9,4c312f31-e323-4a31-804c-7a7daf6c3f05,2025-03-06 20:58:17.513000+00:00,2025-03-06 20:58:17.513000+00:00,робити речі зі своїми друзями.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwjpg06j1ad07nvmicph8,91d78381-9abc-4bb0-abd3-5ea8e79a263f,c22d5ba8-0ed3-4997-a129-2d6acdebda79,2025-03-06 20:58:17.669000+00:00,2025-03-06 20:58:17.669000+00:00,робити речі зі своєю дитиною.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwjts06hwad07hz8f6xtg,fd351ca4-73ac-4d17-a077-7219cc024e3d,759e7330-eead-4a51-ba8d-fb39b84a30d5,2025-03-06 20:58:17.825000+00:00,2025-03-06 20:58:17.825000+00:00,"робити собі речі, які тільки шкодять тобі.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwjy906i1ad07lvb8unlh,46549392-1ee5-4890-a00c-4f4b77998f0d,c88b32c4-4726-4df8-aaaa-00bd32b50b7f,2025-03-06 20:58:17.986000+00:00,2025-03-06 20:58:17.986000+00:00,"робити речі, щоб догодити романтичному партнеру.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwk4306j5ad07kvuyg1zw,0f91af49-8bd3-4a7e-aff5-dce87031b0f7,4e01007e-61e6-407e-81c8-cdbed3371020,2025-03-06 20:58:18.196000+00:00,2025-03-06 20:58:18.196000+00:00,"робити іншим речі, тому що ти ревнивий.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwk8o06j9ad070d02hyes,314a2260-6262-4886-a6c2-701a6a3c24c5,03e50f27-8d6b-439f-9131-2198c82c9f49,2025-03-06 20:58:18.360000+00:00,2025-03-06 20:58:18.360000+00:00,робити речі з майном інших народів без дозволу.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwkcv06i0ad074hl4w25g,004fdbd7-86e6-4aa9-9280-81de7ac6321e,23f26e97-698e-490a-9c96-61ec8c2fc0d7,2025-03-06 20:58:18.512000+00:00,2025-03-06 20:58:18.512000+00:00,"робити речі, щоб не створювати незручності своїм сусідам.",0,2<|END_OF_TURN_TOKEN|>
cm7xtwkh606i5ad07fdsw4zkq,fcfa2cc6-f18e-4815-9282-82bd7e156294,66116cf8-dc89-49a1-9150-629709262923,2025-03-06 20:58:18.666000+00:00,2025-03-06 20:58:18.666000+00:00,"робити речі, щоб завдати шкоди іншій людині, тварині чи предмету.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwkll06jdad0779ylv3d1,ecd56dff-5042-4d5f-bc1e-c39150b665b3,4044484a-41d8-445f-9e47-48f990b9b169,2025-03-06 20:58:18.825000+00:00,2025-03-06 20:58:18.825000+00:00,"робити речі для членів сім'ї, які їх бентежать.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwkpx06i4ad07x3zszzog,5c1a159c-7027-4fde-a6e3-fa9fa0cc9306,9db0d87a-93a1-4226-814a-898ac549c828,2025-03-06 20:58:18.981000+00:00,2025-03-06 20:58:18.981000+00:00,"робити речі, які ви знаєте, принесуть шкоду іншим.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwku706i9ad0743a0givc,b8189943-ecd2-46e3-8e27-00519c84d2be,a7d483ef-098e-426b-8373-ba5d20c03c56,2025-03-06 20:58:19.135000+00:00,2025-03-06 20:58:19.135000+00:00,"робити речі, які вам подобаються.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwkyb06jhad07l8vyavgr,ed4a5fe5-8746-48e7-928c-1b99199fc697,cffcb12e-e7d5-4b7a-8701-8fb0178d14f1,2025-03-06 20:58:19.284000+00:00,2025-03-06 20:58:19.284000+00:00,"робити речі, які б виправдали отримання ляпаса в обличчя.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwl2v06i8ad078fqy2z4k,7ce908a7-326f-42bc-9d0a-687c5b785b35,ac58cc39-2f08-4691-b12b-a206a250851e,2025-03-06 20:58:19.447000+00:00,2025-03-06 20:58:19.447000+00:00,"робити речі, які змусять ваших зведених братів і сестер не піклуватися про вас.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwl7g06idad07ni3aiwwp,bff148e8-44e5-4f9c-b56a-be531865d49e,3b02d1a1-b4b0-49ad-9d9c-5becc3ba470f,2025-03-06 20:58:19.613000+00:00,2025-03-06 20:58:19.613000+00:00,"робити речі, які змушують інших хотіти вбити тебе.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwlbr06jlad07nrnhb2zi,7ba6c2b5-2d38-4045-9fb9-bfe7666098ee,626dd703-7b51-4ac9-9e25-826a30312f9c,2025-03-06 20:58:19.768000+00:00,2025-03-06 20:58:19.768000+00:00,"робити речі, які призвели б до розриву, коли ви все ще закохані в людину.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwli606icad07g9jsnw8g,5eadab24-8e74-4139-9582-4f3ccd91e8e5,348e2ab6-b4f8-4867-8220-b825367114f3,2025-03-06 20:58:19.998000+00:00,2025-03-06 20:58:19.998000+00:00,"робити речі, які назавжди травмують ваших дітей.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwlml06ihad07o25zagtv,9674f89e-6437-4365-8b23-5afe256be7c0,441b09eb-82e9-423e-a549-246987fb4a7c,2025-03-06 20:58:20.157000+00:00,2025-03-06 20:58:20.157000+00:00,"робити речі, які змусять інших хотіти з вами боротися.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwlqy06jpad07b72em230,d610c034-4bb8-4ffa-a917-694c3e0e21d8,4ae46036-8c84-463c-a9e2-c5449d422c57,2025-03-06 20:58:20.314000+00:00,2025-03-06 20:58:20.314000+00:00,"робити речі, які можуть зашкодити іншим.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwm3t06jtad07qlvcz79m,b408b8c1-a3e3-4b9b-af7b-148cd0b9e882,f73a8b9d-47ec-4f4d-8580-9cf5d91c1544,2025-03-06 20:58:20.778000+00:00,2025-03-06 20:58:20.778000+00:00,"робити речі, які змушують інших вас ненавидіти.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwlv506igad07271gm743,c58d265f-9ebc-474b-9794-bfcda25afc56,9d17a4a5-1be8-404a-9fd1-ed56265746ca,2025-03-06 20:58:20.466000+00:00,2025-03-06 20:58:20.466000+00:00,"робити речі, які можуть зашкодити комусь.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwlze06ilad07rqzq3qub,374874e6-c27e-491f-8f97-3c95190e5d3e,82e7039c-a302-449c-b6d6-cec3790e882c,2025-03-06 20:58:20.619000+00:00,2025-03-06 20:58:20.619000+00:00,"робити речі, які змушують вас почувати себе добре.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwmcl06ipad07y1gq0znv,3d98c2ba-74d9-40a9-ba1e-333270a7a847,e3feb33e-d941-40be-8dc8-cea2247badf4,2025-03-06 20:58:21.093000+00:00,2025-03-06 20:58:21.093000+00:00,"робити речі, які завдають шкоди члену вашої родини.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwm8206ikad07g26mnm9b,161ddd47-7f6b-4fdf-a9d5-1c6ec08d595d,e9aeb970-f268-4a28-b4ec-6be804721f5c,2025-03-06 20:58:20.930000+00:00,2025-03-06 20:58:20.930000+00:00,"робити речі, які завдають шкоди людям, про яких ми дбаємо.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwmtj06ioad07d2avtm8j,145e5335-2ac9-418b-aa6c-66027fd80a87,b26b63ba-4681-4d89-95c4-4d677e10ce3d,2025-03-06 20:58:21.704000+00:00,2025-03-06 20:58:21.704000+00:00,"робити речі, які можуть поставити під загрозу майбутнє ваших дітей.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwn6e06isad07iczs17ad,9ebe64b3-da21-4834-a7e8-1d7d6d28706c,f35a05dd-b186-42bc-95c7-254621b87c20,2025-03-06 20:58:22.166000+00:00,2025-03-06 20:58:22.166000+00:00,"робити речі у ваших стосунках, які викликають у вас найгірше.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwnj706iwad074cfyp7gb,1416691b-b413-4b14-92fb-fa18361f27b4,dfe82aa8-7998-4fa2-9d26-7261dda6bd6b,2025-03-06 20:58:22.627000+00:00,2025-03-06 20:58:22.627000+00:00,робити речі для своїх дітей.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwmgr06jxad07iqwnnaqq,6163f5e6-ad95-43c5-9d7f-79179b9319a5,f6fc6a9d-d700-45ed-8197-a46a6c467c68,2025-03-06 20:58:21.244000+00:00,2025-03-06 20:58:21.244000+00:00,"робити речі, які мають високий шанс заподіяти фізичну шкоду.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwn2706k5ad07is6ln1h0,93c4a461-0784-4d77-9261-055e7d07cb0b,170fdca3-7e9b-4691-99f7-5fba2f8ce01e,2025-03-06 20:58:22.015000+00:00,2025-03-06 20:58:22.015000+00:00,"робити приємні речі для людей, з якими ви працюєте.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwmkx06itad07rr6e5oip,4c83c0c9-421c-47bf-bb3a-a0ae65fe974f,79adbf83-8f58-4e94-b351-a379c7c6a7cd,2025-03-06 20:58:21.393000+00:00,2025-03-06 20:58:21.393000+00:00,"робити речі, які відволікають автомобілістів.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwmxt06ixad0775be4fs7,bdf5007a-3463-4d01-acc1-350cf9948f69,8e476a94-9f9f-4a5a-ae41-8ecc3ad66303,2025-03-06 20:58:21.857000+00:00,2025-03-06 20:58:21.857000+00:00,"робити речі, які шкідливі для вашого здоров'я.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwnan06j1ad072dao50jr,f40adc34-6f3d-4ac7-92a3-f5707d2ead01,e4672934-4512-416d-97f0-779634719d7c,2025-03-06 20:58:22.319000+00:00,2025-03-06 20:58:22.319000+00:00,робити речі для себе.,1,2<|END_OF_TURN_TOKEN|>
cm7xtwnnn06j5ad07siqh8uko,76b6b043-082a-4142-be44-37a9d4961051,a74ead42-49f8-46f7-93a5-14b06d2652b3,2025-03-06 20:58:22.787000+00:00,2025-03-06 20:58:22.787000+00:00,робити речі для своїх друзів.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwnet06k9ad07cvps8dyo,77f26905-a720-4a38-ae08-7b11648507fb,a265bba5-172c-4748-8a7e-cc31a72ea303,2025-03-06 20:58:22.469000+00:00,2025-03-06 20:58:22.469000+00:00,"робити речі для свого партнера, коли вони не вдома.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwnru06kdad07t7w799gv,018d1019-22f0-4844-850c-90542cfdf310,26e884a0-1eec-4042-b412-15928ebc5e1d,2025-03-06 20:58:22.938000+00:00,2025-03-06 20:58:22.938000+00:00,робити речі для своїх друзів.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwo9206khad07dof55feb,d77baffa-880f-40eb-b6ea-c28c8df1358b,ef6abff5-860e-4b7e-8397-f3e6863f2674,2025-03-06 20:58:23.559000+00:00,2025-03-06 20:58:23.559000+00:00,робити жахливі речі зі своїм хлопцем.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwnw006j0ad07tzpac1eu,594c5d6c-8f30-46f3-8e54-b2e8d2bbb9fa,8b71dd91-81ed-46c5-a08a-2f8fb1c31b85,2025-03-06 20:58:23.088000+00:00,2025-03-06 20:58:23.088000+00:00,робити речі для вашої дитини.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwo0906j9ad07i36kqy0c,55f34fc3-7b4e-4690-9a31-3b4c07bc47e9,eb6c549d-53af-4d7c-bc8b-7baf87b10dbd,2025-03-06 20:58:23.242000+00:00,2025-03-06 20:58:23.242000+00:00,робити речі для людей.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwody06jdad079ps33kfa,8b65e232-72ba-4d45-bb1c-e821ab78cb46,d9a051b5-1d80-4fde-8f1b-be110c3063a6,2025-03-06 20:58:23.734000+00:00,2025-03-06 20:58:23.734000+00:00,"робити щось, що ви знаєте, дійсно зашкодить чиїмсь почуттям.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwo4u06j4ad07707mjpxx,8deebc54-7af0-4108-831b-79045f788e03,3a2ed931-a6e4-4eaa-9e8f-b19576717c1d,2025-03-06 20:58:23.407000+00:00,2025-03-06 20:58:23.407000+00:00,робити речі для членів сім'ї.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwoij06klad0785kclebk,a03f2fed-7a78-4866-b956-f901b3efce56,a8cdab93-c751-4556-8d60-c1c3c74bf4fd,2025-03-06 20:58:23.899000+00:00,2025-03-06 20:58:23.899000+00:00,"робити те, що ви знаєте, що це когось зашкодить.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwowh06kpad070887f1dm,012fbb12-ba95-466f-b16d-324540fd7ec5,f8fbbf70-6044-4f7a-a171-a9cb5543a6e7,2025-03-06 20:58:24.402000+00:00,2025-03-06 20:58:24.402000+00:00,"робити щось, що змушує іншу людину погано себе почувати.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwpaa06ktad07vusb2hjz,83c772a8-d022-49c3-b709-53bae6b8fc45,ac3200af-2546-4100-adeb-156ec84334d5,2025-03-06 20:58:24.899000+00:00,2025-03-06 20:58:24.899000+00:00,"робити щось навмисно, що ви знаєте, викликає ревнощі у вашої дівчини.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwpok06kxad07dts6tcxj,c1612e7b-0210-4526-b8c1-d568def4f241,ea5f9aa0-acc7-401b-935c-40c0e38a0d99,2025-03-06 20:58:25.412000+00:00,2025-03-06 20:58:25.412000+00:00,заподіяння шкоди собі.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwq2y06l1ad07tqtojw8f,528a4a4d-61dd-49fe-a2a9-171e7e195c41,a34ff2f9-c467-442a-b06a-2219edff4c84,2025-03-06 20:58:25.930000+00:00,2025-03-06 20:58:25.930000+00:00,робити приємні речі для ваших гостей.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwqgn06l5ad07fn5smqfq,54af896c-fec4-423f-80ae-f0543d21d0ff,775358ed-dc5f-4071-b4b7-154e284158ff,2025-03-06 20:58:26.423000+00:00,2025-03-06 20:58:26.423000+00:00,робити приємні речі для матерів.,2,2<|END_OF_TURN_TOKEN|>
cm7xtwqv006l9ad072j5lpxt8,36911adb-ac47-48b5-9421-e9b77729802e,8d2fc36d-06bd-4fe4-9b3c-2774350b62cc,2025-03-06 20:58:26.940000+00:00,2025-03-06 20:58:26.940000+00:00,нанесення шкоди через невеликий наконечник.,0,0<|END_OF_TURN_TOKEN|>
cm7xtwr9606ldad07pxvbeyri,28cc4dc1-ed2a-4e09-95f2-69382523ac95,dc281659-5e3f-41f9-9fe5-d563555b86d3,2025-03-06 20:58:27.450000+00:00,2025-03-06 20:58:27.450000+00:00,робити послуги для свого партнера.,1,2<|END_OF_TURN_TOKEN|>
cm7xtwrnl06lhad0725h3jk4d,3fefbaea-efb3-4be3-bf7a-fc2613082e72,0c30eb6f-642b-4411-b7d6-c8714635d5c6,2025-03-06 20:58:27.969000+00:00,2025-03-06 20:58:27.969000+00:00,"робить користь для вагітних людей, щоб допомогти їм.",2,2<|END_OF_TURN_TOKEN|>
cm7xtwon506j8ad07j85p4ocx,91348271-8033-463c-b6ee-fdfa0398a355,a4c77822-0826-4b35-ad62-a3385c1caa7c,2025-03-06 20:58:24.065000+00:00,2025-03-06 20:58:24.065000+00:00,"робити щось, щоб навмисно зробити когось незручним.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwp1506jcad07a2d7259j,0cfda504-0c4f-45a8-a0a3-4ce1a4943cc6,133457c1-140f-4a2c-9936-57427ac90bf4,2025-03-06 20:58:24.569000+00:00,2025-03-06 20:58:24.569000+00:00,"робити щось, що шкодить дитині.",0,0<|END_OF_TURN_TOKEN|>
cm7xtworv06jlad07uya9rxwe,988b842b-6022-43f7-8b7d-1b6a4f266b3b,8dc962e6-68aa-4b2c-845f-7c27eadd1b8d,2025-03-06 20:58:24.235000+00:00,2025-03-06 20:58:24.235000+00:00,"робити щось, що засмутило б друга.",0,0<|END_OF_TURN_TOKEN|>
cm7xtwp5m06jpad076m2y560o,a3e271b7-4faf-4e6d-af7b-91146afa1c4c,9b977388-0caf-42c4-8e0f-4f04a895f8c4,2025-03-06 20:58:24.731000+00:00,2025-03-06 20:58:24.731000+00:00,"робити щось, що завдає шкоди майну іншої людини.",0,0<|END_OF_TURN_TOKEN|>
