area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You shouldn't,Bringing out an underage drinker.,-1.0,illegal,0
confessions,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's wrong,Bullying someone because they don't share your interests.,-1.0,tolerated,0
rocstories,4.0,morality-ethics|advice,care-harm,It's kind,Buying things for others.,1.0,legal,2
rocstories,4.0,morality-ethics|description,care-harm,It's okay,Buying things that aren't for your kids.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,its okay,Buying yourself flowers.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,is embarrassing,Calling a person out in front of many other people,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's good,Calling for help right away when someone is threatening their life.,1.0,legal,2
rocstories,4.0,advice,care-harm,You should,Calling out someone's name if you need their help,0.0,legal,1
dearabby,4.0,morality-ethics|description,care-harm|sanctity-degradation,You should,Calling the cops if you discover your partner is into child porn.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,Its good,Caring about others in life.,1.0,legal,2
confessions,4.0,morality-ethics|social-norms,care-harm,It's good.,Caring about things.,0.0,legal,1
dearabby,4.0,morality-ethics|advice,care-harm,It's good,Caring for family.,1.0,legal,2
amitheasshole,4.0,description,care-harm,helps save the environment,Carpooling,2.0,legal,2
rocstories,4.0,morality-ethics,care-harm,It's wise.,Cautioning someone in a dangerous situation.,2.0,legal,2
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's important.,Checking on friends or family members who aren't doing well.,2.0,legal,2
dearabby,4.0,morality-ethics|social-norms,care-harm|authority-subversion,should,Children being respectful to adults,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,should,Children trying to do things for their parents when they are able.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,is important.,Cleanliness,1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm,You should,Coming prepared for meetings.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,Its good,Congratulating others for their accomplishments.,2.0,legal,2
dearabby,4.0,advice,care-harm,expected,Couples talking honestly with each other about their sexual needs.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Coworkers cooperating with one another.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,is bad,Destroying someone else's environmen,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,Its reasonable,Distancing yourself from someone who you do not share values with.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,shouldn't be prevented,Dogs liking to be close to their owners,-1.0,legal,0
rocstories,4.0,social-norms|advice,care-harm,is thoughtful,Doing something for free for someone else,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,It's not ok,Doing something that could hurt someone or their pets.,-1.0,legal,0
rocstories,4.0,morality-ethics|advice,care-harm,It's good,Doing things for your family.,1.0,legal,2
rocstories,4.0,advice,care-harm,It's good,Doing things that make you happy.,1.0,legal,2
rocstories,4.0,morality-ethics,care-harm,is selfish.,Driving recklessly and hurting someone else,-2.0,illegal,0
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's ok,Ending a friendship if they are taking advantage of you.,0.0,legal,1
confessions,4.0,morality-ethics|advice,care-harm,It's bad.,Engaging in risky or dangerous behaviors,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,is acceptable,Euthanizing sick or old animals,0.0,legal,1
rocstories,4.0,description,care-harm,is expected,Exercising improving your health.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,It's rude,Expecting people to help you if they cannot.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm,should,Family pitching in to help raise kids.,1.0,legal,2
rocstories,4.0,morality-ethics|advice,care-harm,It's okay,Feeling confident when you've been lucky.,0.0,,1
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,It's normal,Feeling grateful towards the people that help you.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,ITs okay,Feeling sad when you have to leave your significant other for work.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,It's understandable,Finding it difficult to get over losing one's life partner.,0.0,legal,1
amitheasshole,4.0,advice,care-harm,Its good,Forgiving someone.,2.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,expected,Friends are wanting to go to each other's parties.,0.0,legal,1
rocstories,4.0,morality-ethics|social-norms,care-harm,Shouldn't.,Getting drunk to get the courage to do something.,-2.0,tolerated,0
rocstories,4.0,morality-ethics,care-harm,Should.,Getting help if someone is hurt.,2.0,legal,2
confessions,4.0,morality-ethics|advice,care-harm,You should,Getting help if you have no heart and are selfish.,1.0,legal,2
confessions,4.0,advice,care-harm,should,Getting help if you're worried about falling into depression,0.0,legal,1
amitheasshole,4.0,advice|description,care-harm,It's perfectly acceptable,Getting out of a relationship you feel is going nowhere.,0.0,legal,1
confessions,4.0,advice,care-harm,You should,Getting some therapy If all you think about is getting high.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,Should.,Getting tested if you fear having AIDS.,2.0,legal,2
amitheasshole,4.0,social-norms,care-harm,expected,Gifts at wedding getting the couple started with their new life.,1.0,legal,2
rocstories,4.0,advice,care-harm,It's good,Giving yourself a new look.,1.0,legal,2
rocstories,4.0,description,care-harm,is a good way to rest your body,Going into your bedroom and laying down,1.0,legal,2
dearabby,4.0,social-norms|advice,care-harm,It's ok,Grieving after a loss.,0.0,legal,1
confessions,4.0,advice|description,care-harm|loyalty-betrayal,Should.,Grieving when your friend dies.,0.0,legal,1
rocstories,4.0,social-norms,care-harm,supposed to,Halloween being fun for children,1.0,legal,2
confessions,4.0,advice|description,care-harm|loyalty-betrayal,It's good,Having a best friend.,1.0,legal,2
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its OK,Having a life outside of a relationship.,1.0,legal,2
confessions,4.0,morality-ethics|social-norms,care-harm,Its wrong,Having the intention to not take care of your child.,-2.0,tolerated,0
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,You should,Helping out your roommate if they are in trouble.,2.0,legal,2
rocstories,4.0,social-norms,care-harm,Should,Helping your children understand things,0.0,legal,1
confessions,4.0,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,Hurting your friends.,-1.0,tolerated,0
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,you should,"If your child sees a spider in their room, help them out and get rid of it.",0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Ignoring someone's medical condition.,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,Its rude,Ignoring your partner when they seem sad.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Interfering with someone else's source of income.,-1.0,legal,0
amitheasshole,4.0,social-norms,care-harm,It is wrong,Interrupting someone when they are at work.,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm,It's encouraged,Intervening in situations where someone is in harm's way.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It's mean,It is mean to resent your grandmother.,-2.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's understandable,It's understandable to being upset with a family member who is treating you in an unkind manner.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,Its hurtful,Keeping secrets from your friends.,-1.0,legal,0
amitheasshole,4.0,advice,care-harm,Its okay,Keeping your distance.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,Kids running in the street.,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Killing people.,-2.0,illegal,0
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Killing yourself.,-2.0,legal,0
confessions,4.0,description,care-harm,It's good,Learning new things.,1.0,legal,2
rocstories,4.0,description,care-harm,Stressful.,Learning you need surgery.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,is bad,Leaving a partner because they're sick,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,Its bad,Leaving your sick baby behind while you go out.,-1.0,legal,0
confessions,4.0,advice,care-harm,You shouldn't,Letting guilt consume your life.,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,Liking your grandchildren.,0.0,legal,1
rocstories,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,It's wrong,Littering,-1.0,illegal,0
amitheasshole,4.0,morality-ethics,care-harm,It's bad,Losing your composure when you should be trying to help someone.,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's good.,Loving others.,2.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,wrong,Lying,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm|fairness-cheating,It's wrong,Making assumptions about how to interact with people based on their skin color,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,it's heartless,Making fun of someone with a disability,-2.0,legal,0
amitheasshole,4.0,morality-ethics|description,care-harm,can make people dislike you.,Making insulting jokes,-2.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,can be viewed as controlling.,Making someone do something in a relationship.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,is wrong,Manipulating people.,-2.0,legal,0
rocstories,4.0,social-norms|description,care-harm,enjoy,Many people going to the coast for vacation.,1.0,legal,2
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,Shouldn't.,Masturbating in front of your siblings.,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's ok,Moving back home in order to escape a bad living situation.,0.0,legal,1
rocstories,4.0,advice,care-harm,Plants may die.,Neglecting  your vegetable garden.,-1.0,legal,0
rocstories,4.0,social-norms|advice,care-harm,It's bad.,Neglecting your vehicle's maintenance.,-1.0,tolerated,0
amitheasshole,4.0,social-norms,care-harm,You don't have to,Not telling anyone about your past if you don't want to do so.,0.0,legal,1
amitheasshole,4.0,morality-ethics|description,care-harm|fairness-cheating,can hurt them financially.,Not tipping someone in an often-tipped profession,-1.0,legal,0
amitheasshole,4.0,description,care-harm,it's reasonable,Not wanting to take your car out during dangerous weather.,0.0,legal,1
rocstories,4.0,advice,care-harm,assures that you don't go hungry.,Packing food to take with you places,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|authority-subversion,expected,Parents and children discussing their issues with each other.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,expected,Parents doing their best to facilitate their child's education.,0.0,legal,1
rocstories,4.0,social-norms,care-harm|loyalty-betrayal,expected,Parents helping their children get their licenses.,0.0,legal,1
rocstories,4.0,morality-ethics,care-harm,should,Parents looking out for the safety of their children.,0.0,legal,1
amitheasshole,4.0,description,care-harm|authority-subversion,It's expected,Parents taking care of their children.,0.0,legal,1
dearabby,4.0,social-norms,care-harm|authority-subversion,expected,People  taking care of their children.,0.0,legal,1
confessions,4.0,social-norms,care-harm,They are expected to,People being careful when they driving so they don't harm others on the roads.,2.0,legal,2
amitheasshole,4.0,social-norms,care-harm,should,People being civil to each other.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,expected,People being kind to their friends.,0.0,legal,1
amitheasshole,4.0,morality-ethics|social-norms,care-harm,are expected to,People being responsible for their children.,0.0,legal,1
amitheasshole,4.0,morality-ethics|description,care-harm|loyalty-betrayal,expected,People caring about the well-being of their loved ones.,0.0,legal,1
confessions,4.0,social-norms,care-harm,It's expected,People controlling their pets.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,it's expected,People in a relationship working on their issues.,0.0,legal,1
amitheasshole,4.0,advice,care-harm,should,People leaving the past in the past.,1.0,legal,2
dearabby,4.0,description,care-harm,shouldn't,People letting their jobs consume them until they're an empty husk of a person,-1.0,,0
confessions,4.0,morality-ethics|description,care-harm,It is expected,People protecting their children.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,expected,People spending time with their loved ones.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm,expected,People taking care of their children.,1.0,legal,2
rocstories,4.0,social-norms,care-harm|fairness-cheating|authority-subversion,should,"People thinking about what they want to order before they get to the counter, so they don't hold up everyone else.",1.0,legal,2
rocstories,4.0,social-norms,care-harm|sanctity-degradation,should,People who discover they have an STD warning their partners they need to get checked.,2.0,legal,2
confessions,4.0,social-norms|advice,care-harm,expected,People with anxiety issues seeking treatment.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,You should,"Practicing compassion towards others, especially if you're dating them.",1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,Its wrong,Pressuring someone for a romantic relationship.,-1.0,legal,0
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,Rude.,Prioritizing a game over family members.,-1.0,legal,0
rocstories,4.0,morality-ethics|social-norms,care-harm,It's thoughtful.,Protecting people from possible injuries by maintaining trees.,1.0,legal,2
rocstories,4.0,morality-ethics|advice,care-harm,It's not okay.,Putting yourself in a dangerous situation.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,is criminal and wrong,Raping someone,-2.0,illegal,0
amitheasshole,4.0,social-norms|advice,care-harm,Its good,Reducing the number of cars on the road by carpooling.,2.0,legal,2
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,You shouldnt,Refusing to help your partner.,-1.0,legal,0
amitheasshole,4.0,social-norms|advice,care-harm,It's fine.,Refusing to listen to an ex-significant other's problems.,0.0,legal,1
rocstories,4.0,advice,care-harm,Should.,Researching the safety of areas where you'll travel.,0.0,legal,1
confessions,4.0,advice,care-harm,You should,Resting If you're burned out,0.0,legal,1
rocstories,4.0,description,care-harm,makes customers angry and irritable,Running out of stock,-1.0,legal,0
rocstories,4.0,description,care-harm|sanctity-degradation,assures that they get treated,Rushing someone to the hospital,2.0,legal,2
amitheasshole,4.0,social-norms|advice,care-harm|fairness-cheating,is smart,Saving your money when going out,1.0,legal,2
confessions,4.0,morality-ethics,care-harm,never acceptable,Selling body organs,-2.0,tolerated,0
confessions,4.0,morality-ethics,care-harm|fairness-cheating,You shouldn't,Shaming organizations that do a lot of good for people or animals.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,Smacking people,-2.0,illegal,0
confessions,4.0,morality-ethics,care-harm,Shouldn't.,Smashing someone's phone.,-2.0,illegal,0
confessions,4.0,morality-ethics|description,care-harm,is very dangerous.,Smothering someone,-2.0,illegal,0
rocstories,4.0,morality-ethics|description,care-harm|sanctity-degradation,It's understandable,Someone who isn't a good member of a group leaving for the good of the community,0.0,legal,1
confessions,4.0,morality-ethics,care-harm,You shouldn't,Spending all day drinking alcohol and eating junk food when it is lazy and wrong.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,Its wrong,Stalking a person you find attractive.,-2.0,illegal,0
confessions,4.0,morality-ethics|social-norms,care-harm,It's wrong,Stalking people.,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm,Its wrong,Stalking someone,-2.0,illegal,0
rocstories,4.0,advice,care-harm,it is a responsible way to keep track of it,Storing money in a wallet,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,is expected,Taking a friend to the ER.,0.0,legal,1
rocstories,4.0,advice,care-harm,is a good way,Taking a vacation to relax and recharge.,1.0,legal,2
confessions,4.0,morality-ethics|description,care-harm|fairness-cheating,It's not okay,Taking advantage of people with your looks.,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,Shouldn't.,Taking advantage of your friends.,-1.0,legal,0
rocstories,4.0,social-norms|advice,care-harm,It's good.,Taking care of and wanting the best for your kids.,1.0,legal,2
amitheasshole,4.0,social-norms,care-harm,You should,Taking care of pets.,-1.0,legal,0
rocstories,4.0,morality-ethics,care-harm,Should.,Taking responsibility if someone gives you a pet.,2.0,legal,2
rocstories,4.0,morality-ethics,care-harm,It's prudent.,Taking someone sick to the doctor.,2.0,legal,2
confessions,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,It's good,Talking through relationship problems.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,You should,Telling someone bad news as gently as possible.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm,helpful,Telling someone when they are acting inappropriately,1.0,legal,2
amitheasshole,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,Should.,Telling your partner you are uncomfortable with something they want.,0.0,legal,1
rocstories,4.0,social-norms|advice,care-harm,should,Thanking someone who takes you out.,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,It's wrong,Throwing your ex's belongings out the window after a breakup,-2.0,tolerated,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,is important,Trusting in a relationship.,1.0,legal,2
rocstories,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's expected,Trying to compromise with your friends.,0.0,legal,1
rocstories,4.0,advice,care-harm,could be dangerous,Trying to play football with people who are much bigger than you,-1.0,legal,0
confessions,4.0,social-norms,care-harm|sanctity-degradation,You shouldnt,Trying to ship humans in boxes.,-1.0,tolerated,0
confessions,4.0,morality-ethics,care-harm,It's wrong.,Using a racial slur.,-2.0,tolerated,0
dearabby,4.0,advice,care-harm,can save trees,Using the entirety of a sheet of paper,1.0,legal,2
rocstories,4.0,social-norms|advice,care-harm,It's good,Walking your pet.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,Its OK,Wanting privacy.,0.0,legal,1
confessions,4.0,morality-ethics|description,care-harm|fairness-cheating,It's understandable,Wanting vengeance against people who've threatened you.,0.0,tolerated,1
dearabby,4.0,advice,care-harm,Its good,Wanting what is best for people in life.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,It's good,Wanting your sibling to be safe.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,It's normal,Wanting your significant other to care about their future.,0.0,legal,1
rocstories,4.0,social-norms,care-harm,Its expected,Washing your body regularly.,1.0,legal,2
rocstories,4.0,advice,care-harm,you should,"When something tastes funny, not eating or drinking it because it might be poison.",1.0,legal,2
dearabby,4.0,morality-ethics,care-harm,is selfish,Withholding your HIV status from past and future lovers,-2.0,legal,0
rocstories,4.0,advice,care-harm,You shouldn't,Working with electricity or electronics with wet hands.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,{},You are not obligated to have sex with anyone.,0.0,,1
confessions,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,{},You should call the police if someone intentionally damages your property.,0.0,legal,1
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,Should,Your partner helping you with your problems.,1.0,legal,2
confessions,4.0,morality-ethics|social-norms,care-harm,It is inappropriate,a 16 year old dating a 50 year old.,-1.0,tolerated,0
dearabby,4.0,morality-ethics,care-harm|sanctity-degradation,bad,a child saying mean things about each other's mom.,-1.0,legal,0
rocstories,4.0,morality-ethics,care-harm,It is good,a coach instructing players.,1.0,legal,2
rocstories,4.0,social-norms,care-harm|authority-subversion,it's expected,a doctor prescribing medicine to speed up recovery.,0.0,legal,1
amitheasshole,4.0,description,care-harm,It's perfectly natural,a mother being protective of her baby.,0.0,legal,1
confessions,4.0,social-norms,care-harm|loyalty-betrayal,it's expected,a mother loving her son.,0.0,legal,1
rocstories,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,must,a parent caring for the well-being of your children.,0.0,legal,1
confessions,4.0,morality-ethics,care-harm,it's horrendous,a parent violating a child's trust.,-2.0,tolerated,0
dearabby,4.0,advice,care-harm|loyalty-betrayal,It's good,a parent wanting to keep in touch with their children.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm,It's not okay,a person putting other people in danger.,-2.0,illegal,0
amitheasshole,4.0,social-norms,care-harm,expected,a wife treating her husband with kindness.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,rude,abandoning a friend.,-1.0,legal,0
dearabby,4.0,morality-ethics,care-harm,it's not okay,abandoning kids.,-2.0,illegal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,You shouldn't,abandoning others.,-1.0,legal,0
amitheasshole,4.0,morality-ethics,care-harm,You shouldn't,abandoning people who are terminally ill.,-2.0,legal,0
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,It's not okay,abandoning someone you care about.,-2.0,legal,0
dearabby,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,It's wrong,abandoning your daughter because she's pregnant,-1.0,tolerated,0
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,it's rude,abandoning your family members when they need your help.,-2.0,legal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's fine,abstaining from alcohol,0.0,legal,1
dearabby,4.0,morality-ethics,care-harm,It's wrong,abusin people.,-2.0,legal,0
dearabby,4.0,advice,care-harm,You shouldn't,abusing alcohol.,-2.0,tolerated,0
confessions,4.0,morality-ethics,care-harm,immoral,abusing an animal that you've adopted.,-2.0,tolerated,0
confessions,4.0,morality-ethics|social-norms,care-harm,It is bad,abusing animals,-2.0,tolerated,0
confessions,4.0,morality-ethics,care-harm,shouldn't,abusing animals.,-2.0,legal,0
dearabby,4.0,morality-ethics,care-harm|authority-subversion|sanctity-degradation,It is wrong,"abusing anyone, especially someone that you're close to.",-1.0,illegal,0
confessions,4.0,morality-ethics|advice,care-harm,shouldn't,abusing drugs.,-1.0,legal,0
confessions,4.0,morality-ethics,care-harm|sanctity-degradation,shouldnt,abusing kids.,-2.0,illegal,0
amitheasshole,4.0,morality-ethics,care-harm,You shouldn't,abusing others.,-2.0,illegal,0
confessions,4.0,morality-ethics,care-harm,it's expected that you won't,abusing people.,-2.0,illegal,0
confessions,4.0,morality-ethics,care-harm,It's frowned upon,abusing substances.,-1.0,tolerated,0
amitheasshole,4.0,advice,care-harm|sanctity-degradation,it's not okay,abusing things like drugs.,-2.0,illegal,0
amitheasshole,4.0,morality-ethics,care-harm|authority-subversion,you shouldn't,abusing your children.,-1.0,illegal,0
confessions,4.0,morality-ethics|advice,care-harm,bad,abusing your ex-wife.,-1.0,tolerated,0
confessions,4.0,morality-ethics,care-harm,It's wrong,abusing your girlfriend.,-2.0,illegal,0
confessions,4.0,morality-ethics,care-harm,You shouldn't,abusing your partner.,-1.0,tolerated,0
dearabby,4.0,description,care-harm,you shouldn't,abusing your pets.,-2.0,illegal,0
amitheasshole,4.0,morality-ethics|social-norms,care-harm,It's bad,abusing your significant other.,-2.0,illegal,0
dearabby,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,is wrong,abusing your spouse,-2.0,tolerated,0
amitheasshole,4.0,advice,care-harm,should,accepting help and influence from people when you're in a bad place.,0.0,legal,1
confessions,4.0,advice,care-harm,it's okay,accepting help if you need it,0.0,legal,1
rocstories,4.0,social-norms,care-harm|fairness-cheating,it's ok,accepting school supplies as a gift from others.,0.0,legal,1
amitheasshole,4.0,social-norms|advice,care-harm|authority-subversion,You should,accepting that going shopping just isn't some people's idea of a good time.,1.0,legal,2
amitheasshole,4.0,morality-ethics,care-harm|sanctity-degradation,It's wrong,accusing someone of being racist.,-2.0,legal,0
confessions,4.0,social-norms,care-harm,should not,actiing on feelings for your sister.,-1.0,tolerated,0
rocstories,4.0,advice,care-harm,it's important,acting cautiously around wild animals.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,it's rude,acting coldly towards others.,-1.0,legal,0
confessions,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,it's wrong,acting cruel to others.,-2.0,tolerated,0
rocstories,4.0,social-norms|advice,care-harm|fairness-cheating,It's good,acting kindly to other people.,1.0,legal,2
confessions,4.0,morality-ethics|advice,care-harm|authority-subversion,You shouldn't,acting on your crush when your crush is on a teacher.,-1.0,legal,0
amitheasshole,4.0,morality-ethics|advice,care-harm|fairness-cheating,it's wrong,acting out of malicious intent,-2.0,legal,0
amitheasshole,4.0,social-norms,care-harm,it's wrong,acting passive-aggressively with a neighbor,-1.0,legal,0
dearabby,4.0,social-norms,care-harm|sanctity-degradation,It's expected,acting responsibly even when mourning.,0.0,legal,1
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,acting violent against family members.,-2.0,illegal,0
confessions,4.0,description,care-harm,It's understandable,addiction being very difficult for you to overcome,0.0,legal,1
rocstories,4.0,advice,care-harm,It is good,adding healthy ingredients to your smoothie.,1.0,legal,2
rocstories,4.0,social-norms,care-harm,not good,adding too much of something unhealthy to a recipe.,-1.0,legal,0
confessions,4.0,advice,care-harm,it's good,addressing mental health issues.,1.0,legal,2
amitheasshole,4.0,morality-ethics|advice,care-harm,it's good,admiring a good performance.,1.0,legal,2
